,Flat Name,Flat address,Possession_Starts,Avg. Price,Sizes,Project Size,Launch Date,About,images,Configurations,Project Area
28,Brigade Xanadu Cluster III Celeste,"Nolambur Village, No.1, Chanakyan Road, Mogappair, Chennai west, Chennai","Dec, 2025",7.21 K/sq.ft,1062.00 sq.ft. - 1878.00 sq.ft.,5 Buildings,,"Brigade Enterprises Ltd has lauched Brigade Xanadu Cluster III Celeste in Chinna Nolambur, Chennai. It offers Under Construction units. Popular configurations include 2 BHK, 3 BHK units. As per the area plan, units are in the size range of 1062.0 - 1878.0 sq.ft.. Overall, there are 5 buildings. The possession date of Brigade Xanadu Cluster III Celeste is Dec, 2025. The address of Brigade Xanadu Cluster III Celeste is Nolambur Village, No.1, Chanakyan Road, Mogappair.Ample provision for sports avenues such as Squash Court. Own a home in Brigade Xanadu Cluster III Celeste today!.This is a RERA registered project with RERA ID TN/29/Building/0018/2021 and fulfils all conditions placed by the state regulatory body.This project has been developed by Brigade Enterprises Ltd. Brigade Enterprises Ltd is a reputed developer firm with experience in developing livable spaces for homebuyers since 1986.Mogappair is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-2.housingcdn.com/4f2250e8/a626f226efb6f8e8448fc4881928ebb9/v0/_p/brigade_xanadu_cluster_iii_celeste-chinna_nolambur-chennai-brigade_enterprises_ltd.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/a626f226efb6f8e8448fc4881928ebb9/v0/large/brigade_xanadu_cluster_iii_celeste-chinna_nolambur-chennai-brigade_enterprises_ltd.jpeg', 'https://img.youtube.com/vi/K6p3QhT1-SM/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/030e198a43ba6a8eb20fd76e16a19708/v0/_p.jpeg']","2, 3 BHK Apartments",33 Acres (65% open)
29,Casagrand Crescendo,"Mogappair, Chennai west, Chennai","Feb, 2022",Price on request,1197.00 sq.ft. - 1265.00 sq.ft.,6 Buildings - 513 units,"Jun, 2018","Casagrand Crescendo is a project by Casagrand Builder Private Limited in Chennai. It is a Under Construction project. Casagrand Crescendo offers some of the most conveniently designed Apartment. Located in Ambattur Industrial Estate, it is a residential project. The project is spread over 3.88 Acres . It has 513 units. There are 6 buildings in this project. Casagrand Crescendo offers some of the most exclusive 3 BHK. As per the area plan, units are in the size range of 1530.0 - 1599.0 sq.ft.. Launched in June 2018, Casagrand Crescendo is slated for possession in Feb, 2022. The address of Casagrand Crescendo is Mogappair.Casagrand Crescendo ensures a coveted lifestyle and offers a convenient living. It offers facilities such as Gymnasium. If you are a sports lover, there are provisions meant for you such as Tennis Court, Squash Court, Basketball Court, Badminton Court, Cycling & Jogging Track. Some other provisions include access to Party Hall, Landscaped Garden, Multipurpose Room.All major banks such as LIC Housing Finance, HDFC have approved home loans for Casagrand Crescendo.The project is RERA compliant and fulfils all necessities as required by the authorities. RERA ID of Casagrand Crescendo is TN/02/Building/0190/2018.Established in 2004, Casagrand Builder Private Limited is a renowned developer firm. Till date, Casagrand Builder Private Limited has developed 92 projects with a focus on healthy and sustainable lifestyle.Ambattur Industrial Estate is well-connected to other parts of the city via an extensive road.","['https://is1-3.housingcdn.com/4f2250e8/a47b8dd2f03a7395bfe8c1692b795b5e/v0/_p/casagrand_crescendo-mogappair-chennai-casagrand_builder_private_limited.jpg', 'https://is1-3.housingcdn.com/4f2250e8/a47b8dd2f03a7395bfe8c1692b795b5e/v0/large/casagrand_crescendo-mogappair-chennai-casagrand_builder_private_limited.jpg', 'https://img.youtube.com/vi/EXxkx2PaqUI/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/08c778506cc5ec6a7068029b77d13423/v2/_p.jpeg']","2 BHK Apartment, Duplex",3.88 Acres
30,The Nest Carnival,"East Tambaram, Chennai south, Chennai","Jul, 2022",6.80 K/sq.ft,1275.00 sq.ft. - 1320.00 sq.ft.,7 units,,"A classy lifestyle upgrade, that only keeps on appreciating / An East Tambaram Dream, invites you to make it reality .Surrounded with 2 side road,Just 30 sec from Tambaram Railway Station and Bus Terminal.
 
 ","['https://is1-2.housingcdn.com/4f2250e8/2dcac01bb697c89d5c4873ac0c343d14/v0/_p/the_nest_carnival-tambaram-chennai-the_nest_builder.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/2dcac01bb697c89d5c4873ac0c343d14/v0/large/the_nest_carnival-tambaram-chennai-the_nest_builder.jpeg', 'https://is1-2.housingcdn.com/012c1500/4dce938b694b761fdefeb9dc984d71ae/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/76595f514abeaa19d4615df8e7723b61/v0/_p.jpeg']",3 BHK Apartment,
31,Casagrand Zenith,"Medavakkam, Chennai south, Chennai","Apr, 2022",4.65 K/sq.ft,1360.00 sq.ft. - 1799.00 sq.ft.,4 Buildings - 949 units,,,"['https://is1-2.housingcdn.com/4f2250e8/854fbcd22dfa6e2f23ca85e85aa1d83b/v0/_p/casagrand_zenith-medavakkam-chennai-casagrand_builder_private_limited.jpg', 'https://is1-2.housingcdn.com/4f2250e8/854fbcd22dfa6e2f23ca85e85aa1d83b/v0/large/casagrand_zenith-medavakkam-chennai-casagrand_builder_private_limited.jpg', 'https://img.youtube.com/vi/b8xE1GCX3mU/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/97a151b5b3bd88140e8b4f0883962111/v0/_p.jpg']",3 BHK Apartment,7.46 Acres
32,DAC Centum,"Plot No. 06 And 15, Professor Colony, East Tambaram, Chennai south, Chennai","Dec, 2022",7.10 K/sq.ft,1004.00 sq.ft. - 1335.00 sq.ft.,1 Building - 8 units,"Feb, 2021","DAC Developers has lauched DAC Centum in Tambaram, Chennai. The project was launched in March 2021. It offers Under Construction units. Popular configurations include 2 BHK, 3 BHK units. As per the area plan, units are in the size range of 1004.0 - 1335.0 sq.ft.. There are 56 units in DAC Centum. Overall, there is 1 building. The possession date of DAC Centum is Dec, 2022. The address of DAC Centum is Plot No. 06 And 15, Professor Colony, East Tambaram.

Enjoy a host of facilities at DAC Centum which includes Gymnasium, Power Backup. There is provision for Closed Car Parking.  There is 24x7 Security. Other provisions include access to Sewage Treatment Plant, Multipurpose Room. Own a home in DAC Centum today!.

This project has been developed by DAC Developers . DAC Developers is a reputed developer firm with experience in developing livable spaces for homebuyers since 2010.

Tambaram is well-connected to other parts of city by road, which passes through the heart of this suburb. Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-3.housingcdn.com/4f2250e8/796c2b603bddf8a855692dadf569a7df/v0/_p/dac_centum-tambaram-chennai-dac_developers.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/796c2b603bddf8a855692dadf569a7df/v0/large/dac_centum-tambaram-chennai-dac_developers.jpeg', 'https://is1-2.housingcdn.com/012c1500/87768521140de4c39f711f8dad2f2c22/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/a7c533ee2776ab423ebdb1a5ecd4a96a/v0/_p.jpeg']","2, 3 BHK Apartments",
33,LML Prakriti Phase II,"Rajmohan Nagar, EB Office, Close To Tambaram Railway Station, West Tambaram, Chennai south, Chennai","Mar, 2023",4.89 K/sq.ft,904.00 sq.ft. - 2019.00 sq.ft.,6 Buildings - 231 units,"Sep, 2019","West Tambaram, Chennai is home to premium residential project LML Prakriti, launched by leading real estate developer LML Homes. West Tambaram is a prominent residential area in Chennai. Its neighboring localities include Medavakkam, Urapakkam, Chromepet, Gowrivakkam, Kovilambakkam, Kundrathur, Madambakkam, Pallavaram, Pammal, and Perungalathur. There are a number of reputed schools, educational institutes, and hospitals established here. Restaurants, banks, and other utility shops are also located in the vicinity. Interested buyers can contact developer LML Homes, Prakriti Phase I is Ready to Movein and Phase II will be ready in January 2023 for possession.","['https://is1-2.housingcdn.com/4f2250e8/bdaa50fcad73f4dd1d5a8e13a537dd67/v0/_p/lml_prakriti_phase_ii-tambaram-chennai-lml_homes.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/bdaa50fcad73f4dd1d5a8e13a537dd67/v0/large/lml_prakriti_phase_ii-tambaram-chennai-lml_homes.jpeg', 'https://img.youtube.com/vi/rdaD3bhM6os/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/37d0dc9a8498cefd1585b0b3f5ed051f/v0/_p.jpg']","2, 3, 4 BHK Apartments",3.5 Acres
34,DAC Centum,"Plot No. 06 And 15, Professor Colony, East Tambaram, Chennai south, Chennai","Dec, 2022",7.10 K/sq.ft,1004.00 sq.ft. - 1335.00 sq.ft.,1 Building - 8 units,"Feb, 2021","DAC Developers has lauched DAC Centum in Tambaram, Chennai. The project was launched in March 2021. It offers Under Construction units. Popular configurations include 2 BHK, 3 BHK units. As per the area plan, units are in the size range of 1004.0 - 1335.0 sq.ft.. There are 56 units in DAC Centum. Overall, there is 1 building. The possession date of DAC Centum is Dec, 2022. The address of DAC Centum is Plot No. 06 And 15, Professor Colony, East Tambaram.

Enjoy a host of facilities at DAC Centum which includes Gymnasium, Power Backup. There is provision for Closed Car Parking.  There is 24x7 Security. Other provisions include access to Sewage Treatment Plant, Multipurpose Room. Own a home in DAC Centum today!.

This project has been developed by DAC Developers . DAC Developers is a reputed developer firm with experience in developing livable spaces for homebuyers since 2010.

Tambaram is well-connected to other parts of city by road, which passes through the heart of this suburb. Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-3.housingcdn.com/4f2250e8/796c2b603bddf8a855692dadf569a7df/v0/_p/dac_centum-tambaram-chennai-dac_developers.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/796c2b603bddf8a855692dadf569a7df/v0/large/dac_centum-tambaram-chennai-dac_developers.jpeg', 'https://is1-2.housingcdn.com/012c1500/87768521140de4c39f711f8dad2f2c22/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/a7c533ee2776ab423ebdb1a5ecd4a96a/v0/_p.jpeg']","2, 3 BHK Apartments",
35,Darshan Garden,"Tambaram West, Chennai south, Chennai",Ready to Move,1.55 K/sq.ft,569.00 sq.ft. - 2513.00 sq.ft.,279 units,,"Darshan Garden is a residential plot by Darshan Foundation. This plot is available for sale in Tambaram west, Chennai. The plot area is 5436.0 sq.ft.. There are 279 units in Darshan Garden. The address of Darshan Garden is 228/1 of Naduveerapattu, Sriperumbudur, Kancheepuram.Darshan Garden ensures a coveted lifestyle and offers a convenient living. It is aGated Community. Other provisions include access to Landscaped Garden, Storm Water Drains.This residential land for sale is RERA approved. For details, check RERA ID TN/01/Layout/0115/2021.Check out Darshan Garden brochure for more details.Sriperumbudur is well-connected to other parts of city by road, which passes through the heart of this suburb. Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-2.housingcdn.com/4f2250e8/8e0bb486117bbf7beff032bc17ebe63e/v0/_p/darshan_garden-west_tambaram-chennai-darshan_foundation.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/8e0bb486117bbf7beff032bc17ebe63e/v0/large/darshan_garden-west_tambaram-chennai-darshan_foundation.jpeg', 'https://img.youtube.com/vi/n6FtoR_F1Bk/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/01158a5b2d26a11be1cf765e904162f7/v0/_p.jpeg']",Residential Plots,12.15 Acres
36,Sai Castle,"Chitlapakkam Village, Tambaram Taluk, Chengalpattu, East Tambaram, Chennai south, Chennai","May, 2023",6.50 K/sq.ft,640.00 sq.ft. - 1115.00 sq.ft.,1 Building - 35 units,"Aug, 2021","Chennai's residential project, The Nest Sai Castle is offering property for sale. Check out some Apartment. Available configurations include 1 BHK, 2 BHK formats in Tambaram. It is a Under Construction project by The Nest Builder. As per the area plan, units are in the size range of 640.0 - 1115.0 sq.ft.. The Nest Sai Castle was launched in September 2021 and possession date is May, 2023. There are 16 units in The Nest Sai Castle. There is 1 building. The Nest Sai Castle is located in Chitlapakkam Village, Tambaram Taluk, Chengalpattu, East Tambaram.There are multiple amenities for residents at The Nest Sai Castle which includes Gymnasium. There is 24x7 Security. It is a Gated Community. There is provision for Closed Car Parking. Own a home in The Nest Sai Castle today!.The Nest Sai Castle is a RERA registered project with ID TN/01/Building/0278/2021 dated 01/09/2021.Tambaram is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-2.housingcdn.com/4f2250e8/3beae8d189ca75b809aff7671536f753/v0/_p/sai_castle-tambaram-chennai-the_nest_builder.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/3beae8d189ca75b809aff7671536f753/v0/large/sai_castle-tambaram-chennai-the_nest_builder.jpeg', 'https://is1-2.housingcdn.com/012c1500/0ca0e0c02092e86b7243e0ce1eefdad7/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/1dc804ad398edd69c32757b9081e5377/v0/_p.jpeg']","1, 2 BHK Apartments",
37,A K Navratna,"Plot No13, Manimegalai 2nd Street, Extension, Selaiyur, East Tambaram, Chennai south, Chennai","Aug, 2022",6.00 K/sq.ft,888.00 sq.ft. - 1152.00 sq.ft.,1 Building - 8 units,"Feb, 2022","A K Builders has lauched A K Navratna in Tambaram, Chennai. A residential project spread over 0.07 Acres , it offers ample amount of facilities for residents. The project was launched in February 2022. It offers Under Construction units. Popular configurations include 2 BHK, 3 BHK units. As per the area plan, units are in the size range of 888.0 - 1152.0 sq.ft.. There are 8 units in A K Navratna. Overall, there is 1 building. The possession date of A K Navratna is Aug, 2022. The address of A K Navratna is Plot No13, Manimegalai 2nd Street, Extension, Selaiyur, East Tambaram.Enjoy a host of facilities at A K Navratna which includes Power Backup. Other provisions include access to Landscaping & Tree Planting, Storm Water Drains. Own a home in A K Navratna today!.This is a RERA registered project with RERA ID Rera Not Required and fulfils all conditions placed by the state regulatory body.This project has been developed by A K Builders.Tambaram is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-2.housingcdn.com/4f2250e8/8494d2c2d86970d8ab8df9f1acc83d5f/v0/_p/a_k_navratna-tambaram-chennai-a_k_builders.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/8494d2c2d86970d8ab8df9f1acc83d5f/v0/large/a_k_navratna-tambaram-chennai-a_k_builders.jpeg', 'https://is1-3.housingcdn.com/012c1500/83277e6034d8e3f1d42d0979ac5ba699/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/9fbde5b7e2b5fa6d7f2a41714dcc4a46/v0/_p.jpeg']","2, 3 BHK Apartments",0.07 Acres
38,Landster Sai City square,"East Tambaram, Chennai south, Chennai",Ready to Move,4.50 K/sq.ft,710.00 sq.ft. - 1819.00 sq.ft.,,,"Landster Sai City square is a residential plot by Landster Projects Pvt Ltd. This plot is available for sale in Tambaram, Chennai. This project offers plots in various sizes. The minimum plot size is 710.0 sq.ft. and the maximum size is 1819.0 sq.ft.. The address of Landster Sai City square is East Tambaram.Landster Sai City square ensures a coveted lifestyle and offers a convenient living. It is aGated Community. Other provisions include access to Landscaping & Tree Planting, Storm Water Drains, Sewage Treatment Plant.This residential land for sale is RERA approved. For details, check RERA ID Rera Not Required.The firm has since then developed 3 and focuses on customer-centricity. Check out Landster Sai City square brochure for more details.Tambaram is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-3.housingcdn.com/4f2250e8/cb97a29f2ab3bd09f742ac38638a8db5/v0/_p/landster_sai_city_square-tambaram-chennai-landster_projects_pvt_ltd.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/cb97a29f2ab3bd09f742ac38638a8db5/v0/large/landster_sai_city_square-tambaram-chennai-landster_projects_pvt_ltd.jpeg', 'https://is1-2.housingcdn.com/012c1500/2baa55f861797952157647bda3bdbfec/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/9d519d6b9014f39cbb575fddcf5519fb/v0/_p.jpeg']",Residential Plots,
39,VGK Sri Sai Enclave,"Old Perungalathur, Chennai south, Chennai","Oct, 2022",3.95 K/sq.ft,1012.00 sq.ft. - 1570.00 sq.ft.,28 units,"Mar, 2021","VGK Sri Sai Enclave is a residential plot by VGK Builders Pvt. Ltd.. This plot is available for sale in Shanthi Nagar, Chennai. This project offers plots in various sizes. The minimum plot size is 900.0 sq.ft. and the maximum size is 1570.0 sq.ft.. This project was launched on April 2021. There are 22 units in VGK Sri Sai Enclave. The address of VGK Sri Sai Enclave is Perungalathur.

VGK Sri Sai Enclave ensures a coveted lifestyle and offers a convenient living.

This residential land for sale is RERA approved. For details, check RERA ID RERA not required.

VGK Builders Pvt. Ltd. is a reputed developer firm established in 1995. The firm has since then developed 39 and focuses on customer-centricity. Check out VGK Sri Sai Enclave brochure for more details.
Villa-plot at perungalathur. Customised villa's as per customer taste and preference. Basic per sqft price at 5307 rs.

Total villa units : 6Config type: 2 bhkBuilt area unit size: 1300 SqftBasic price: 69 Lac.","['https://is1-2.housingcdn.com/4f2250e8/e4fdc22bc3eb3fbe3cb3a425b71d3dc6/v0/_p/vgk_sri_sai_enclave-west_tambaram-chennai-vgk_builders_pvt_ltd.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/e4fdc22bc3eb3fbe3cb3a425b71d3dc6/v0/large/vgk_sri_sai_enclave-west_tambaram-chennai-vgk_builders_pvt_ltd.jpeg', 'https://is1-2.housingcdn.com/012c1500/60fcea32b87d3a67ae68426096234992/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/aca159486f5bd1387a462b085ed05667/v0/_p.jpeg']","Residential Plot, 2s",
40,Live Aadhana,"No.3, East Tambaram, Chennai south, Chennai","Aug, 2021",5.50 K/sq.ft,773.00 sq.ft. - 902.00 sq.ft.,1 Building - 5 units,"Dec, 2020","Live Aadhana is a project by Live Builder in Chennai. It is a Ready to Move project. Live Aadhana offers some of the most conveniently designed Apartment. Located in Tambaram, it is a residential project. The project is spread over 0.07 Acres . It has 5 units. There is 1 building in this project. Live Aadhana offers some of the most exclusive 2 BHK. As per the area plan, units are in the size range of 665.0 - 902.0 sq.ft.. Launched in January 2021, Live Aadhana is slated for possession in Aug, 2021. The address of Live Aadhana is No.3, East Tambaram.Live Aadhana ensures a coveted lifestyle and offers a convenient living. It offers facilities such as Power Backup. It is a Gated Community.The project is RERA compliant and fulfils all necessities as required by the authorities. RERA ID of Live Aadhana is Rera Not Required.Till date, Live Builder has developed 1 projects with a focus on healthy and sustainable lifestyle.Tambaram is well-connected to other parts of the city via an extensive road.","['https://is1-3.housingcdn.com/4f2250e8/cc3ddb2330895e5049a813cf17a42fe1/v0/_p/live_aadhana-tambaram-chennai-live_builder.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/cc3ddb2330895e5049a813cf17a42fe1/v0/large/live_aadhana-tambaram-chennai-live_builder.jpeg', 'https://is1-3.housingcdn.com/012c1500/155d9492e9ed7358787e0a3e711bf429/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/64e16da0dc338666d82f1b251df3d5d2/v0/_p.jpeg']",2 BHK Apartment,0.07 Acres
41,Joel Flats,"Tambaram East, Chennai south, Chennai",Under Construction,5.80 K/sq.ft,854.00 sq.ft. - 1530.00 sq.ft.,1 Building - 8 units,"Jan, 2022","Developed with unmatched perfection, Mayfair Tulip invites you to experience a world of ecstasy and luxurious lifestyle. This magnanimous and unique residential creation ensures that you reside in comforts and leisure you have always wanted. Allowing you to experience happiness, peace and privacy, this majestic project is exclusively designed keeping in mind the needs and requirements of modern day family. Offering you a world-class lifestyle Mayfair Tulip promises to make you feel above all in your peer group","['https://is1-3.housingcdn.com/4f2250e8/55dbbfffe20909f6272bb1e9b7f30cb1/v0/_p/joel_flats-tambaram-chennai-vishnu_foundation.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/55dbbfffe20909f6272bb1e9b7f30cb1/v0/large/joel_flats-tambaram-chennai-vishnu_foundation.jpeg', 'https://is1-2.housingcdn.com/012c1500/32bd2056c7118ccf765c50af42660fa2/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/73f519f315fdc827e87ae1f7414248aa/v0/_p.jpeg']","2, 3 BHK Apartments",
42,EK Avenues,"Erumaiyur, Tambaram West, Chennai south, Chennai","Dec, 2025",2.40 K/sq.ft,678.00 sq.ft. - 2336.00 sq.ft.,74 units,"Feb, 2021","EK Avenues is a project by EK Realtors in Chennai. It is a Under Construction project. Located in Tambaram, it is a residential project. The address of EK Avenues is Erumaiyur, Thirumudivakkam.EK Avenues ensures a coveted lifestyle and offers a convenient living.The project is RERA compliant and fulfils all necessities as required by the authorities. RERA ID of EK Avenues is TN/01/Layout/0231/2020.Till date, EK Realtors has developed 1 projects with a focus on healthy and sustainable lifestyle.Tambaram is well-connected to other parts of the city via an extensive road.","['https://is1-3.housingcdn.com/4f2250e8/e18489daead5dbc7d03f9278742c0a8d/v0/_p/ek_avenues-tambaram-chennai-ek_realtors.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/e18489daead5dbc7d03f9278742c0a8d/v0/large/ek_avenues-tambaram-chennai-ek_realtors.jpeg', 'https://is1-3.housingcdn.com/012c1500/384798e2d2c2e50b93e7097629ee771b/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/3ff89aded054f341cfc9ae31b5566f63/v0/_p.jpeg']",Residential Plots,
43,Pillars Archana Nagar,"Archana Nagar Extension, Perungalathur, Chennai south, Chennai",Ready to Move,5.30 K/sq.ft,794.00 sq.ft. - 1412.00 sq.ft.,,,"Pillars Archana Nagar is a residential plot by Pillar Properties. This plot is available for sale in Tambaram, Chennai. This project offers plots in various sizes. The minimum plot size is 794.0 sq.ft. and the maximum size is 1412.0 sq.ft.. The address of Pillars Archana Nagar is Archana Nagar Extension, Perungalathur.Pillars Archana Nagar ensures a coveted lifestyle and offers a convenient living. It offers facilities such as Power Backup.This residential land for sale is RERA approved. For details, check RERA ID Rera Not Required.The firm has since then developed 2 and focuses on customer-centricity. Check out Pillars Archana Nagar brochure for more details.Tambaram is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-2.housingcdn.com/4f2250e8/45393598073776fc6b97c6e5abf68250/v0/_p/pillars_archana_nagar-tambaram-chennai-pillar_properties.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/45393598073776fc6b97c6e5abf68250/v0/large/pillars_archana_nagar-tambaram-chennai-pillar_properties.jpeg', 'https://is1-3.housingcdn.com/012c1500/54f4ead91b51c00f6a26acf27d896be9/v0/_p.jpeg', 'https://is1-2.housingcdn.com/012c1500/5b7ed2bed45dce82e590ebbc620e4f29/v0/_p.jpeg']",Residential Plots,
44,VGK Samyuktha,"Plot No.14, Judge Colony Second Main Road, East Tambaram Sanatorium, Chennai south, Chennai","May, 2020",6.50 K/sq.ft,906.00 sq.ft. - 1197.00 sq.ft.,1 Building - 8 units,"Mar, 2019","Looking for Apartment in Tambaram, Chennai?. VGK Samyuktha is a project by VGK Builders Pvt. Ltd.. The project is offering 2 BHK, 3 BHK. It is set in 0.08 Acres . VGK Samyuktha is a Ready to Move residential project. There are 8 units. There is 1 building in this project. As per the area plan, units are in the size range of 906.0 - 1197.0 sq.ft.. VGK Samyuktha is located in Plot No.14, Judge Colony Second Main Road, East Tambaram Sanatorium. VGK Samyuktha was launched in March 2019.VGK Samyuktha offers a host of facilities for residents. All residents have access to ATM, provisions in the project. These amenities in VGK Samyuktha are those that every homebuyer aspires for!.RERA ID is Rera Not Required.VGK Samyuktha is RERA-compliant and all necessary approvals are in place.VGK Builders Pvt. Ltd. is a reputed building firm with 39 projects since its inception in 1995.Tambaram is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-3.housingcdn.com/4f2250e8/0bc8e128ef90359bbaaf71f6f980fa96/v0/_p/vgk_samyuktha-tambaram-chennai-vgk_builders_pvt_ltd.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/0bc8e128ef90359bbaaf71f6f980fa96/v0/large/vgk_samyuktha-tambaram-chennai-vgk_builders_pvt_ltd.jpeg', 'https://is1-3.housingcdn.com/012c1500/7bef8ea9a3a8e49c1feb40deaa9a290b/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/9957f74ac925d83b9c4124638a482457/v0/_p.jpeg']","2, 3 BHK Apartments",0.08 Acres
45,TVS Green Hills Villas,"345, 2B, NGO Nagar Extn, Nedungundram, New Perungalathur, Chennai, Chennai south, Chennai",Ready to Move,6.62 K/sq.ft,2047.00 sq.ft.,182 units,"Nov, 2014","Chennai's residential project, TVS Green Hills Villas is offering property for sale. Check out some Villa. Available configurations include 3 BHK formats in Perungalathur. It is a Ready to Move project by Emerald Haven Realty Limited. As per the area plan, units are in the size of 2047.0 sq.ft.. TVS Green Hills Villas was launched in December 2014 and possession date is Jun, 2018. There are 182 units in TVS Green Hills Villas. TVS Green Hills Villas is located in 345, 2B, NGO Nagar Extn, Nedungundram, New Perungalathur, Chennai.There are multiple amenities for residents at TVS Green Hills Villas which includes Gymnasium, Power Backup. Young families with children will love the Children's Play Area, nearby apart from Swimming Pool. Sports enthusiasts will like the Basketball Court, Badminton Court, Cycling & Jogging Track. Enjoy access to ATM, provisions in the project. There is 24x7 Security. Other provisions include access to Community Hall, Landscaped Garden, Sewage Treatment Plant, Multipurpose Room. Own a home in TVS Green Hills Villas today!.Banks such as State Bank of India have approved financing for TVS Green Hills Villas.TVS Green Hills Villas is a RERA registered project with ID TN/01/Building/0160/2017.Perungalathur is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-2.housingcdn.com/4f2250e8/0e9f1ac11bd5a1eb02508aa63c350741/v2/_p/tvs_green_hills_villas-tambaram-chennai-emerald_haven_realty_limited.jpg', 'https://is1-2.housingcdn.com/4f2250e8/0e9f1ac11bd5a1eb02508aa63c350741/v2/large/tvs_green_hills_villas-tambaram-chennai-emerald_haven_realty_limited.jpg', 'https://img.youtube.com/vi/0f10mYwCMXY/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/d351fe06f256ed5657e695b43bdd6a1d/v2/_p.jpg']",3 BHK Villa,
46,The Nest Epic,"Vedakkupattu Road, Thiruvalluvar Street, Medavakaam, Chennai south, Chennai","Nov, 2022",5.80 K/sq.ft,650.00 sq.ft. - 1280.00 sq.ft.,1 Building,,"The Nest Epic is a project by The Nest Builder in Chennai. It is a Under Construction project. The Nest Epic offers some of the most conveniently designed Apartment. Located in Kulattur, it is a residential project. There is 1 building in this project. The Nest Epic offers some of the most exclusive 2 BHK. As per the area plan, units are in the size range of 970.0 - 1085.0 sq.ft.. The address of The Nest Epic is Vedakkupattu Road, Thiruvalluvar Street, Medavakaam.The Nest Epic ensures a coveted lifestyle and offers a convenient living. It offers facilities such as Gymnasium, Power Backup. Some other provisions include access to Storm Water Drains.Established in 2008, The Nest Builder is a renowned developer firm. Till date, The Nest Builder has developed 40 projects with a focus on healthy and sustainable lifestyle.Kulattur is well-connected to other parts of the city via an extensive road.","['https://is1-3.housingcdn.com/4f2250e8/d1e0af9f3e4db2ee7d1761fd01f35a2a/v0/_p/the_nest_epic-medavakkam-chennai-the_nest_builder.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/d1e0af9f3e4db2ee7d1761fd01f35a2a/v0/large/the_nest_epic-medavakkam-chennai-the_nest_builder.jpeg', 'https://is1-3.housingcdn.com/012c1500/29f302a14c9b949213d96fc43a6f56df/v0/_p.jpeg', 'https://is1-2.housingcdn.com/012c1500/6c584677468795849d7cd2ac1779a890/v0/_p.jpeg']","1, 2, 3 BHK Apartments",
