,Flat Name,Flat address,Configurations,Possession_Starts,Avg. Price,Sizes,Project Area,Project Size,Launch Date,About,images,Rera Id
20,Adani Atelier Greens,"Lane R, Koregaon Park Annexe, Keshav Nagar, Mundhwa, Pune","2, 2.5, 3 BHK Apartments","Mar, 2024",16.50 K/sq.ft,747.00 sq.ft. - 1660.00 sq.ft.,4 Acres,7 Buildings - 299 units,"Jan, 2019","Adani Group is building a new housing project named Code Name Greens in Mundhwa, Pune. The property is located just beside state highway 27 or Magarpatta Road and is easily approachable from other major residential and commercial areas of the city such as Hadapsar, Amanora Park Town, Koreagaon Park, Viman Nagar and Bibvewadi. The nearest railway station is Hadapsar Railway Station, which is just 2 km away from the locality. The Pune Railway Station is about 7.2 km away from the society and the Pune International Airport is located at a distance of almost 8 km from the project location. The major roads serving the locality include Ghorpadi Road, Manjari Road and Hadapsar Railway Station Road. The area consists of a number of reputed schools, colleges, banks, parks, petrol pumps, gas stations, medical institutes, cinema halls, shopping complexes, malls and entertainment zones in the close proximity of the society.","['https://is1-2.housingcdn.com/4f2250e8/38f99e210038366b9fff79ae9c3cb471/v0/_p/adani_atelier_greens-keshav_nagar_mundhwa_1-pune-adani_realty.jpg', 'https://is1-2.housingcdn.com/4f2250e8/38f99e210038366b9fff79ae9c3cb471/v0/large/adani_atelier_greens-keshav_nagar_mundhwa_1-pune-adani_realty.jpg', 'https://img.youtube.com/vi/unt5G2IqWwY/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/914bdad654220f2102ca776bbfd24465/v0/_p.jpeg']",
21,Godrej Sky Greens Phase 1,"Sector R5, Manjari, Pune","2, 3 BHK Apartments","Mar, 2026",9.16 K/sq.ft,617.00 sq.ft. - 854.00 sq.ft.,4.15 Acres,4 Buildings - 1077 units,"Jan, 2022","Looking for Apartment in Manjari Khurd, Pune?. Godrej Sky Greens Phase 1 is a project by Godrej Properties Ltd.. The project is offering 2 BHK, 3 BHK. It is set in 4.15 Acres . Godrej Sky Greens Phase 1 is a Under Construction residential project. There are 1077 units. There are 4 buildings in this project. As per the area plan, units are in the size range of 617.0 - 854.0 sq.ft.. Godrej Sky Greens Phase 1 is located in Sector R5, Manjari. Godrej Sky Greens Phase 1 was launched in January 2022.Godrej Sky Greens Phase 1 offers a host of facilities for residents. This includes Gymnasium. For families with kids, there is Children's Play Area, Kid's Pool, nearby apart from Swimming Pool. Sportsies can use Cricket Pitch, Squash Court, Skating Rink. All residents have access to Barbecue Area, Library, provisions in the project. These amenities in Godrej Sky Greens Phase 1 are those that every homebuyer aspires for!.RERA ID is P52100032428.Godrej Sky Greens Phase 1 is RERA-compliant and all necessary approvals are in place.Godrej Properties Ltd. is a reputed building firm with 173 projects since its inception in 1990.Manjari Khurd is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-2.housingcdn.com/4f2250e8/a9d032af21381618710466eaa883538f/v0/_p/godrej_sky_greens_phase_1-manjari_khurd_1-pune-godrej_properties_ltd.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/a9d032af21381618710466eaa883538f/v0/large/godrej_sky_greens_phase_1-manjari_khurd_1-pune-godrej_properties_ltd.jpeg', 'https://img.youtube.com/vi/AFwrTmQhrv4/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/15866570ffc42f5b34c627a8f663b71c/v0/_p.jpeg']",
22,Venkatesh Graffiti Glover ,"Survey No. 33/1B, Keshav Nagar Mundhwa, Pune",2 BHK Apartment,"Mar, 2024",Price on request,778.00 sq.ft. - 821.00 sq.ft.,2.50 Acres,,,"You always expect the best. And we always go beyond expectations to fulfil your wishes. At Venkatesh Graffiti Glover, Now, we have ushered in a green revolution in our latest offering. This nature-friendly creation respects ecology and has features that conserve nature in a very sustainable way. Happy people, happy planet that is our ultimate aim. Your dream is realized in the most meaningful way possible. This home exceeds your expectations to deliver the highest quality, smartest lifestyle and ultimate joy.The location of Venkatesh Graffiti Glover is one of its kind. Strategically situated at Keshav Nagar, the project is surrounded by and well connected to prestigious schools and colleges, happening malls, restaurants and eateries, IT Parks, healthcare, railway station and airport. It’s a happy space for a happy family.Venkatesh Graffiti Glover is a stylish approach to modern living. We have crafted distinctive lifestyle amenities in the most dynamic investment destination in Pune. Welcome to a home where dreams are realized, a space where each day is a new experience and every tomorrow a new adventure.The contemporary times are changing dramatically fast and the need to change, accept and move ahead beyond are even faster. With the evolving scenario it’s of paramount importance to face challenges and find finest solutions for a convalescent living. After successfully delivering homes to 1200 happy families within time at Venkatesh Graffiti & Elite in Keshavnagar, Mundhwa, Venkatesh Buildcon presents Venkatesh Graffiti Glover, Green Homes with a sense of purposeful living. A legacy of vibrant homes propelled by new way of living is the rationale behind the Green Homes. We have consistently been able to outperform in terms of time, delivery, quality and a vibrant lifestyle, but this time its way beyond imagination for sustenance of ourselves and the future generations. As a developer, it's a realistic zeal to bring the human and nature balance. Presenting Greens Homes which will exceed your expectations imparting a purposeful living for ourselves and the future generations embracing the nature.","['https://is1-3.housingcdn.com/4f2250e8/0aab0516677d7c14c62e81f6fc877b2f/v0/_p/venkatesh_graffiti_glover-mundhwa-pune-shree_venkatesh_buildcon.jpg', 'https://is1-3.housingcdn.com/4f2250e8/0aab0516677d7c14c62e81f6fc877b2f/v0/large/venkatesh_graffiti_glover-mundhwa-pune-shree_venkatesh_buildcon.jpg', 'https://is1-2.housingcdn.com/012c1500/7bf29adeafb000d1bcea8eb4eebcbe5c/v0/_p.jpg', 'https://is1-3.housingcdn.com/012c1500/8e75e41c7600a4db3ee53cbc93a9e45f/v0/_p.jpg']",
23,Adani Atelier Greens,"Lane R, Koregaon Park Annexe, Keshav Nagar, Mundhwa, Pune","2, 2.5, 3 BHK Apartments","Mar, 2024",16.50 K/sq.ft,747.00 sq.ft. - 1660.00 sq.ft.,4 Acres,7 Buildings - 299 units,"Jan, 2019","Adani Group is building a new housing project named Code Name Greens in Mundhwa, Pune. The property is located just beside state highway 27 or Magarpatta Road and is easily approachable from other major residential and commercial areas of the city such as Hadapsar, Amanora Park Town, Koreagaon Park, Viman Nagar and Bibvewadi. The nearest railway station is Hadapsar Railway Station, which is just 2 km away from the locality. The Pune Railway Station is about 7.2 km away from the society and the Pune International Airport is located at a distance of almost 8 km from the project location. The major roads serving the locality include Ghorpadi Road, Manjari Road and Hadapsar Railway Station Road. The area consists of a number of reputed schools, colleges, banks, parks, petrol pumps, gas stations, medical institutes, cinema halls, shopping complexes, malls and entertainment zones in the close proximity of the society.","['https://is1-2.housingcdn.com/4f2250e8/38f99e210038366b9fff79ae9c3cb471/v0/_p/adani_atelier_greens-keshav_nagar_mundhwa_1-pune-adani_realty.jpg', 'https://is1-2.housingcdn.com/4f2250e8/38f99e210038366b9fff79ae9c3cb471/v0/large/adani_atelier_greens-keshav_nagar_mundhwa_1-pune-adani_realty.jpg', 'https://img.youtube.com/vi/unt5G2IqWwY/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/914bdad654220f2102ca776bbfd24465/v0/_p.jpeg']",
24,K City,"K City Sr. No. 37/3A, Near Renuka Mata Mandir, Mundhwa, Pune","2, 3 BHK Apartments","Nov, 2024",Price on request,755.00 sq.ft. - 987.00 sq.ft.,4 Acres,3 Buildings - 156 units,"Oct, 2020","Inspired by the thought of encouraging you to step out to get your daily dose of outdoor activities and socializing, we have designed open spaces to ensure that you make the most of the time spent outside your home as well. At K City, innovative planning meets cutting edge designs to ensure that you live the life you have always aspired for. Live the K City Style!","['https://is1-3.housingcdn.com/4f2250e8/be54a5bc0f2f25ed1eb82517ebc5deef/v0/_p/k_city-mundhwa-pune-unique_triaa_ventures.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/be54a5bc0f2f25ed1eb82517ebc5deef/v0/large/k_city-mundhwa-pune-unique_triaa_ventures.jpeg', 'https://img.youtube.com/vi/QY-ORCX-S4w/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/23b4ff77c83a358d0b848214a6f53662/v0/_p.jpeg']",
25,Excellaa Tremont,"S No. 41/14A, Keshavnagar, Mundhwa, Pune",2 BHK Apartment,"Dec, 2028",7.08 K/sq.ft,582.00 sq.ft.,,,,"Looking for Apartment in Mundhwa, Pune?. Excellaa Tremont is a project by Excellaa. The project is offering 2 BHK. Excellaa Tremont is a Under Construction residential project. As per the area plan, units are in the size of 582.0 sq.ft.. Excellaa Tremont is located in S No. 41/14A, Keshavnagar, Mundhwa.Excellaa Tremont offers a host of facilities for residents. This includes Gymnasium, RO Water System, Power Backup. Sportsies can use Cricket Pitch, Skating Rink. All residents have access to ATM, Conference Room, provisions in the project. Other provisions include access to Community Hall, Party Hall, Landscaping & Tree Planting, Sewage Treatment Plant, The property is has Fire Sprinklers. There is 24x7 Security. It is a Gated Community. These amenities in Excellaa Tremont are those that every homebuyer aspires for!.Excellaa is a reputed building firm with 13 projects since its inception in 1993.Mundhwa is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-2.housingcdn.com/4f2250e8/f76258a1a3816a548862b3388b2bfb89/v0/_p/excellaa_tremont-mundhwa-pune-excellaa.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/f76258a1a3816a548862b3388b2bfb89/v0/large/excellaa_tremont-mundhwa-pune-excellaa.jpeg', 'https://img.youtube.com/vi/PkDjr3EWQEA/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/0518860d0247e5a5a924f111e4c53df6/v0/_p.png']",
26,ARP Valora Towers,"S.No. 8/3/2, 8/3/3, Keshav Nagar, Pune",2 BHK Apartment,"Jun, 2022",Price on request,736.00 sq.ft. - 814.00 sq.ft.,,2 Buildings - 288 units,,"At Abisky Ritkriti Valora, life will be what you always wished modern and stylish, comfortable and convenient. Developed by Abisky Realty and located at Mundhwa, Pune, it invites you to live with like-minded families to share pleasures with your home reflects your style. Every home meets your needs, fits your self, makes you feel good where you can do what you like according to your mood where you can love and are loved for being who you are. It is an active life that welcomes you to multiple facilities make your leisure time a pleasure whether you are seven or seventy there’s something to enjoy and many opportunities to make friends with your neighbors.Tower A - June 2022Tower B - June 2021","['https://is1-2.housingcdn.com/4f2250e8/ffca16b73c463bcda0e6f2811c206cff/v8/_p/arp_valora_towers-mundhwa-pune-a_r_projects.jpg', 'https://is1-2.housingcdn.com/4f2250e8/ffca16b73c463bcda0e6f2811c206cff/v8/large/arp_valora_towers-mundhwa-pune-a_r_projects.jpg', 'https://is1-2.housingcdn.com/012c1500/4d55533b55a393f3ce55dd3de1deb2ee/v6/_p.jpg', 'https://is1-3.housingcdn.com/012c1500/d7001ccbba4e101ae11eddcc9071a693/v6/_p.jpg']",
27,Unique K City,"Mundhawa, Pune","2, 3 BHK Apartments","Nov, 2024",7.57 K/sq.ft,755.00 sq.ft. - 987.00 sq.ft.,,,,"Property for sale in Mundhwa, Pune. This project, that is, Unique K City is a well designed project by Unique Spaces. It is offering Under Construction units. Project possession is slated for Nov, 2024. Unique K City is located in Mundhawa.Come home to Unique K City. It offers multiple facilities such as Power Backup. These amenities make this property totally aspirational.Unique Spaces is a renowned name in the real estate space.Social infrastructure like banks, schools and parks surround Mundhwa area.  It is also very well-connected to various parts of the city by public transport network.","['https://is1-3.housingcdn.com/4f2250e8/ed82953235fcf9521778d3a1ffcb2137/v0/_p/unique_k_city-mundhwa-pune-the_unique_spaces.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/ed82953235fcf9521778d3a1ffcb2137/v0/large/unique_k_city-mundhwa-pune-the_unique_spaces.jpeg', 'https://is1-2.housingcdn.com/012c1500/439a6bea40d8f781abdd04fb4c128aa2/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/f74a823c0b5ba21de5dcb4ff4dc5bd18/v0/_p.jpeg']",
28,Unique Legacy Grand,"Sr No. 35, Opp. Renuka Mata Madir, Keshav Nagar, Mundhawa, Pune","2, 2.5, 3 BHK Apartments","Apr, 2024",Price on request,651.00 sq.ft. - 1120.00 sq.ft.,1 Acres,108 units,"Sep, 2019","After delivering meaningful lifestyles for close to a decade, Unique Group has now envisioned a landmark residential venture in Keshav Nagar. The group combines strong commitment towards exceeding customers’ expectations with the full-fledged infrastructure to support the innovation required to achieve that. Each one of the Unique Group projects stands testimony to their unwavering faith in delivering only the best to the customer and it has played as a central role in defining their brand philosophy.The story of Unique Legacy is a journey from mastering the essentials to elevating the concept of a luxurious and spacious life. It is a tale of knitting together the best of everyday comforts, internal embellishments, modern amenities and connectivity to present a lifestyle which is a legacy in itself.Unique Legacy is about living a life that’s smart, insightful and exciting at the same time. It’s a place where your expectations and dreams matter.Multi-sized 2, 2.5 & 3 BHK Homes Why should one size fit all? Feel free to choose from sizes ranging from 687 sq. ft. to 1088 sq. ft. and pick a home that’s the right fit for your needs!Your home at Unique Legacy comes with many perks and an Energizing spread of modern amenities is the biggest of them all. Designed with careful attention towards different needs of the different family members, these amenities are meant to ensure that you and your loved ones experience life at its best!Assured excellenceEvery Unique home is embellished with the finest fittings and Unique Legacy is no exception. The promise of assured quality extends even further to smart layout, thoughtful features and a wholesome design to incorporate it all!","['https://is1-3.housingcdn.com/4f2250e8/e65d71da38f0a679a074113061abc653/v0/_p/unique_legacy_grand-mundhwa-pune-unique_properties.jpg', 'https://is1-3.housingcdn.com/4f2250e8/e65d71da38f0a679a074113061abc653/v0/large/unique_legacy_grand-mundhwa-pune-unique_properties.jpg', 'https://img.youtube.com/vi/L639_HNdXj0/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/4fabd13d5d8e87d61337e1c2bf6bf34e/v0/_p.jpg']",
29,Excellaa Tremont D E And F Wings,"S No. 41/14A, Keshavnagar, Mundhwa, Pune",2 BHK Apartment,"Dec, 2028",7.08 K/sq.ft,582.00 sq.ft.,1.33 Acres,3 Buildings - 379 units,"Jul, 2021","Residential project, Excellaa Tremont D E And F Wings in Pune is offering units for sale in Mundhwa. Check out some Apartment that suit your lifestyle and liking. Possession date of Excellaa Tremont D E And F Wings is Dec, 2028. The property offers 2 BHK units. As per the area plan, units are in the size of 582.0 sq.ft.. The project by Excellaa is set in 1.33 Acres . This residential project was launched in August 2021. It has 379 units. There are 3 buildings in this project. Contact for further details. Excellaa Tremont D E And F Wings is located in S No. 41/14A, Keshavnagar, Mundhwa.In terms of facilities, Excellaa Tremont D E And F Wings is loaded with multiple offerings such as Gymnasium, Power Backup. For families with kids, there is Children's Play Area, nearby apart from Swimming Pool. Immerse yourself in a world of sports with provisions for Skating Rink, Basketball Court, Cycling & Jogging Track. Residents can make use of Restaurants/ Cafeterias, provisions in the project. The property has Fire Retardant Structure. There is 24x7 Security. There is provision for Closed Car Parking.Excellaa Tremont D E And F Wings follows all rules as prescribed by the state RERA. All details are furnished on the RERA portal as well.ID is P52100030433.Excellaa is a very well-known developer-firm in this real estate market. The company started its operations in 1993 and has went on to build 13 projects so far. Residents and their lifestyle are at the centre of their developments.Prominent suburbs of Pune are close by to Mundhwa and with several schools, hospitals, banks and offices situated in the proximity, the project is a preferred choice for home seekers.","['https://is1-2.housingcdn.com/4f2250e8/0a2938d41dc6f3e4a634b00789b57c0b/v0/_p/excellaa_tremont_d_e_and_f_wings-mundhwa-pune-excellaa.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/0a2938d41dc6f3e4a634b00789b57c0b/v0/large/excellaa_tremont_d_e_and_f_wings-mundhwa-pune-excellaa.jpeg', 'https://img.youtube.com/vi/PkDjr3EWQEA/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/02cfe8bf27dce83c81c56af68aa8d34f/v0/_p.jpeg']",
30,Choice Goodwill Crescent,"Off Renuka Mata Mandir Road, Keshav Nagar, Mundhwa, Pune",2 BHK Apartment,"Jun, 2024",10.36 K/sq.ft,418.00 sq.ft. - 623.00 sq.ft.,0.98 Acres,3 Buildings - 114 units,"Nov, 2019","Looking for Apartment in Mundhwa, Pune?. Choice Goodwill Crescent is a project by Unique Choice Ventures. The project is offering 2 BHK. Choice Goodwill Crescent is a Under Construction residential project. There are 114 units. There are 3 buildings in this project. As per the area plan, units are in the size range of 418.0 - 623.0 sq.ft.. Choice Goodwill Crescent is located in Off Renuka Mata Mandir Road, Keshav Nagar, Mundhwa. Choice Goodwill Crescent was launched in December 2019.Choice Goodwill Crescent offers a host of facilities for residents. This includes Lift, Rainwater Harvesting, Gymnasium. Other provisions include access to Aggregate area of recreational Open Space, Electrical Meter Room, Energy management, Landscaping & Tree Planting, Solid Waste Management And Disposal, Storm Water Drains, Sewage Treatment Plant, The property is has Fire Protection And Fire Safety Requirements. These amenities in Choice Goodwill Crescent are those that every homebuyer aspires for!.RERA ID is P52100022861.Choice Goodwill Crescent is RERA-compliant and all necessary approvals are in place.Mundhwa is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-3.housingcdn.com/4f2250e8/3db2042826e559503e64ede637e8388a/v0/_p/choice_goodwill_crescent-mundhwa-pune-unique_choice_ventures.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/3db2042826e559503e64ede637e8388a/v0/large/choice_goodwill_crescent-mundhwa-pune-unique_choice_ventures.jpeg', 'https://img.youtube.com/vi/HlwIp27vkCU/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/54a9d35c2e1c1a4fa246704e0bfabf8c/v0/_p.jpeg']",
31,Triaa Elysia,"S No. 33 3A 1, Keshav Nagar, Mundhwa, Pune","1, 2 BHK Apartments","Dec, 2024",10.00 K/sq.ft,513.00 sq.ft. - 653.00 sq.ft.,0.53 Acres,1 Building - 100 units,,"Triaa Housing has lauched Triaa Elysia in Mundhwa, Pune. A residential project spread over 0.53 Acres , it offers ample amount of facilities for residents. It offers Under Construction units. Popular configurations include 1 BHK, 2 BHK units. As per the area plan, units are in the size range of 513.0 - 653.0 sq.ft.. There are 100 units in Triaa Elysia. Overall, there is 1 building. The possession date of Triaa Elysia is Dec, 2024. The address of Triaa Elysia is S No. 33 3A 1, Keshav Nagar, Mundhwa.Enjoy a host of facilities at Triaa Elysia which includes Gymnasium, Power Backup. Children have access to Children's Play Area, nearby apart from Recreation Facilities. There is provision for Closed Car Parking. The property is equipped with Fire Protection And Fire Safety Requirements, Fire Retardant Structure. There is 24x7 Security. It is a Gated Community. Other provisions include access to Energy management, Landscaping & Tree Planting, Solid Waste Management And Disposal, Storm Water Drains, Sewage Treatment Plant. Own a home in Triaa Elysia today!.This is a RERA registered project with RERA ID P52100029429 and fulfils all conditions placed by the state regulatory body.This project has been developed by Triaa Housing.Mundhwa is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-2.housingcdn.com/4f2250e8/df6614bc49e73b0d10763d9c514c7a17/v0/_p/triaa_elysia-mundhwa-pune-triaa_housing.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/df6614bc49e73b0d10763d9c514c7a17/v0/large/triaa_elysia-mundhwa-pune-triaa_housing.jpeg', 'https://is1-2.housingcdn.com/012c1500/a3f13591c3b0f1216cb37d3b0c4e6b1f/v0/_p.jpeg', 'https://is1-2.housingcdn.com/012c1500/c7df8a3f30d9c4a4db32baac9351fa7d/v0/_p.jpeg']",
32,Unique Legacy Majestic,"Plot No. 35/1A/6, 35/1A/15, 36/2A/14, Mundhwa, Pune",2 BHK Apartment,"Oct, 2023",8.00 K/sq.ft,543.00 sq.ft. - 631.00 sq.ft.,1 Acres,2 Buildings - 66 units,"Sep, 2019","Mundhwa, Pune is home to residential project Legacy Majestic launched by well-known real estate firm Unique Group. The project will be spread on a total area of 0.98 acres and is offering 1 and 2 BHK apartments for sale. Carpet area of 1 BHK apartments is 433 sq ft. and for 2 BHK apartments it is in the range of 543 to 631 sq ft. Amenities available for the convenience of residents are closed car parking areas, open parking areas, open area for recreational purpose, community buildings, landscaped gardens, electrical meter room, sub-station, receiving station, fire protection, fire safety equipment, well-lit internal roads, stormwater drains, and other facilities are provided in the complex. All work related to treatment and disposal of sewage and sullage water, sewerage chamber, lines, septic tank, and STP are handled in the housing. Water conservation and rainwater harvesting are done to save water. Mundhwa is a popular residential area in Pune. It is located close to Pune IT hubs like Magarpatta and Kharadi and it is well-connected to other suburbs like Sharad Nagar, Shankar Nagar, Keshav Nagar, Jadhav Nagar, Koregaon Park, Hadapsar, and Kalyani Nagar. There are a number of reputed schools, educational institutes, and hospitals established here. Restaurants, banks, and other utility shops are also located in the vicinity. Legacy Majestic will be ready for possession in October 2023, developer Unique Group can be contacted for purchase of apartments.","['https://is1-2.housingcdn.com/4f2250e8/4e1fd1f4c082630d8aa3a5dfcc7e3dc2/v0/_p/unique_legacy_majestic-mundhwa-pune-unique_properties.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/4e1fd1f4c082630d8aa3a5dfcc7e3dc2/v0/large/unique_legacy_majestic-mundhwa-pune-unique_properties.jpeg', 'https://img.youtube.com/vi/L639_HNdXj0/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/1008a29f0c1850cd64971418f985ec87/v0/_p.jpeg']",
33,Vihana - Mitribute Homes,"Manjari Village Road, Near Pranali Super Market, Keshav Nagar, Pune", BHK ,,Price on request,On Request,,,,"Vihana - Mitribute Homes is a residential project in Mundhwa, Pune. Vihana - Mitribute Homes is located in Manjari Village Road, Near Pranali Super Market, Keshav Nagar.Enjoy a class-apart lifestyle at Vihana - Mitribute Homes.Mundhwa is a prime area, with many attractions work and recreational options just a drive away.","['https://is1-2.housingcdn.com/4f2250e8/d928258013f701e2b566b7179781bef7/v0/_p/vihana_-_mitribute_homes-mundhwa-pune-reputed_builder.jpg', 'https://is1-2.housingcdn.com/4f2250e8/d928258013f701e2b566b7179781bef7/v0/large/vihana_-_mitribute_homes-mundhwa-pune-reputed_builder.jpg']",
34,Tribute Vihana,"Survey No. 36-2A/4, 2A/5, 2B/28, 2B/15, Near Prestige Panorama, Keshavnagar, Mundhwa, Pune","1, 1.5, 2, 2.5, 3 BHK Apartments",Ready to Move,5.00 K/sq.ft,616.00 sq.ft. - 1317.00 sq.ft.,2 Acres (2% open),2 Buildings - 182 units,"Dec, 2013","Vihana is a premium residential project that is one of its kind in terms of quality construction,availability of various amenities and a mesmerizing designing that welcomes you for a complete visual delight. Further, the project is also well located and hence combines comfort with
convenience to every basic establishment of day-to-day lives. If you wish to be counted as one of the privileged few then it certainly makes sense for you to invest in this project. With its unique master plan and so much in the store to offer, the project will help the residents achieve their dreams of owning a beautiful house.","['https://is1-3.housingcdn.com/4f2250e8/f815f7e1c5f2c8baf5a81bd2a0d2d2c3/v5/_p/tribute_vihana-mundhwa-pune-tribute_landmark.jpg', 'https://is1-3.housingcdn.com/4f2250e8/f815f7e1c5f2c8baf5a81bd2a0d2d2c3/v5/large/tribute_vihana-mundhwa-pune-tribute_landmark.jpg', 'https://is1-2.housingcdn.com/012c1500/13af8a0f515eac5c6c74a2c902fd48c2/v6/_p.jpg', 'https://is1-3.housingcdn.com/012c1500/c96d0bae02296914780884214784eb1e/v6/_p.jpg']",
35,Malkani Bon Vivant,"S. No. 33/3A/2, Near Orbis School, Keshavnagar, Mundhwa, Pune","1, 2 BHK Apartments","Jun, 2019",8.89 K/sq.ft,392.00 sq.ft. - 604.00 sq.ft.,2 Acres,2 Buildings - 128 units,"Apr, 2016","Malkani Bon Vivant is a project by Malkani Group in Pune. It is a Ready to Move project. Malkani Bon Vivant offers some of the most conveniently designed Apartment. Located in Mundhwa, it is a residential project. It has 128 units. There are 2 buildings in this project. Malkani Bon Vivant offers some of the most exclusive 1 BHK, 2 BHK. As per the area plan, units are in the size range of 392.0 - 604.0 sq.ft.. Launched in May 2016, Malkani Bon Vivant is slated for possession in Jun, 2019. The address of Malkani Bon Vivant is S. No. 33/3A/2, Near Orbis School, Keshavnagar, Mundhwa.Malkani Bon Vivant ensures a coveted lifestyle and offers a convenient living. It offers facilities such as Lift, Gymnasium, Power Backup. If you are a sports lover, there are provisions meant for you such as Tennis Court, Cycling & Jogging Track. Young families with kids can explore modern-arrangements for leisure and play such as Children's Play Area, nearby apart from Swimming Pool. The property has Fire Fighting Systems, Fire Protection And Fire Safety Requirements. There is 24x7 Security. Some other provisions include access to Banquet Hall, Landscaped Garden, Aggregate area of recreational Open Space, Electrical Meter Room, Energy management, Landscaping & Tree Planting, Solid Waste Management And Disposal, Storm Water Drains, Maintenance Staff.All major banks such as State Bank of India, Axis Bank, HDFC have approved home loans for Malkani Bon Vivant.The project is RERA compliant and fulfils all necessities as required by the authorities. RERA ID of Malkani Bon Vivant is P52100000944.Established in 1994, Malkani Group is a renowned developer firm. Till date, Malkani Group has developed 15 projects with a focus on healthy and sustainable lifestyle.Mundhwa is well-connected to other parts of the city via an extensive road.","['https://is1-2.housingcdn.com/4f2250e8/2e3d8b5f0e06d859a37883fb27d8d179/v8/_p/malkani_bon_vivant-mundhwa-pune-malkani_group.jpg', 'https://is1-2.housingcdn.com/4f2250e8/2e3d8b5f0e06d859a37883fb27d8d179/v8/large/malkani_bon_vivant-mundhwa-pune-malkani_group.jpg', 'https://is1-2.housingcdn.com/012c1500/6d437ad5e0d989e8f655bf90737cabb6/v0/_p.jpeg', 'https://is1-2.housingcdn.com/012c1500/2b7de33a287d344b257763b8d0422e4b/v0/_p.jpeg']",
36,Riswadkar Prestige Panorma,"Keshav Nagar, Mundhwa, Pune, Pune",3 BHK Villa,Ready to Move,Price on request,1740.00 sq.ft.,,43 units,"Aug, 2007","Riswadkar Bakshi Associates has lauched Riswadkar Prestige Panorma in Mundhwa, Pune. The project was launched in September 2007. It offers Ready to Move units. Popular configurations include 3 BHK units. As per the area plan, units are in the size of 1740.0 sq.ft.. There are 43 units in Riswadkar Prestige Panorma. The possession date of Riswadkar Prestige Panorma is Sep, 2009. The address of Riswadkar Prestige Panorma is Keshav Nagar, Mundhwa, Pune.Own a home in Riswadkar Prestige Panorma today!.Approved financing for property at Riswadkar Prestige Panorma by major lenders like PNB Housing Finance, Axis Bank, LIC Housing Finance, HDFC, Indiabulls Finance, IIFL, Citibank, L&T Housing Finance, DHFL.This project has been developed by Riswadkar Bakshi Associates.Mundhwa is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.",[],
