,Flat Name,Flat address,Configurations,Possession_Starts,Avg. Price,Sizes,Project Area,Project Size,Launch Date,About,images
58,Renaissance Reserva,"Survey No 30/1, 42/3A, Yeshwanthpura Hobli, Jalahalli, North Bangalore, Bangalore","2, 3 BHK Apartments","Dec, 2023",6.90 K/sq.ft,1230.00 sq.ft. - 1645.00 sq.ft.,2.55 Acres (63% open),214 units,"Dec, 2019","Renaissance Renaissance Reserva is an upcoming housing project at Mathikere in Bangalore, being developed by Renaissance Holdings . Keeping in mind the needs of modern lifestyle of residents, the project provides various amenities. Renaissance Renaissance Reserva encompasses amenities such as Multipurpose Room, Badminton Court, Gymnasium, Lift and Children's Play Area. ATMS, medical facilities, education institutions, and parks are within easy reach. The area is also well-connected by bus and road network.","['https://is1-2.housingcdn.com/4f2250e8/7c793850270e7de885dfe36e0891f693/v0/_p/renaissance_reserva-jalahalli-bengaluru-renaissance_holdings.jpg', 'https://is1-2.housingcdn.com/4f2250e8/7c793850270e7de885dfe36e0891f693/v0/large/renaissance_reserva-jalahalli-bengaluru-renaissance_holdings.jpg', 'https://img.youtube.com/vi/WwHHpWbG6Lg/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/2ad03fcd138fa3f245c2adb6d8669715/v0/_p.jpeg']"
59,Renaissance Reserva,"Survey No 30/1, 42/3A, Yeshwanthpura Hobli, Jalahalli, North Bangalore, Bangalore","2, 3 BHK Apartments","Dec, 2023",6.90 K/sq.ft,1230.00 sq.ft. - 1645.00 sq.ft.,2.55 Acres (63% open),214 units,"Dec, 2019","Renaissance Renaissance Reserva is an upcoming housing project at Mathikere in Bangalore, being developed by Renaissance Holdings . Keeping in mind the needs of modern lifestyle of residents, the project provides various amenities. Renaissance Renaissance Reserva encompasses amenities such as Multipurpose Room, Badminton Court, Gymnasium, Lift and Children's Play Area. ATMS, medical facilities, education institutions, and parks are within easy reach. The area is also well-connected by bus and road network.","['https://is1-2.housingcdn.com/4f2250e8/7c793850270e7de885dfe36e0891f693/v0/_p/renaissance_reserva-jalahalli-bengaluru-renaissance_holdings.jpg', 'https://is1-2.housingcdn.com/4f2250e8/7c793850270e7de885dfe36e0891f693/v0/large/renaissance_reserva-jalahalli-bengaluru-renaissance_holdings.jpg', 'https://img.youtube.com/vi/WwHHpWbG6Lg/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/2ad03fcd138fa3f245c2adb6d8669715/v0/_p.jpeg']"
60,Renaissance Reserva,"Survey No 30/1, 42/3A, Yeshwanthpura Hobli, Jalahalli, North Bangalore, Bangalore","2, 3 BHK Apartments","Dec, 2023",6.90 K/sq.ft,1230.00 sq.ft. - 1645.00 sq.ft.,2.55 Acres (63% open),214 units,"Dec, 2019","Renaissance Renaissance Reserva is an upcoming housing project at Mathikere in Bangalore, being developed by Renaissance Holdings . Keeping in mind the needs of modern lifestyle of residents, the project provides various amenities. Renaissance Renaissance Reserva encompasses amenities such as Multipurpose Room, Badminton Court, Gymnasium, Lift and Children's Play Area. ATMS, medical facilities, education institutions, and parks are within easy reach. The area is also well-connected by bus and road network.","['https://is1-2.housingcdn.com/4f2250e8/7c793850270e7de885dfe36e0891f693/v0/_p/renaissance_reserva-jalahalli-bengaluru-renaissance_holdings.jpg', 'https://is1-2.housingcdn.com/4f2250e8/7c793850270e7de885dfe36e0891f693/v0/large/renaissance_reserva-jalahalli-bengaluru-renaissance_holdings.jpg', 'https://img.youtube.com/vi/WwHHpWbG6Lg/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/2ad03fcd138fa3f245c2adb6d8669715/v0/_p.jpeg']"
61,Sattva Ashraya,"Lakshmisagara, Bidadi, Mysore-Bangalore Road, Bangalore","1, 2, 3 BHK Apartments","Mar, 2025",5.83 K/sq.ft,339.00 sq.ft. - 646.00 sq.ft.,4.2 Acres,4 Buildings - 660 units,,"Property for sale in Bidadi, Bangalore. This project, that is, Sattva Ashraya is a well designed project by Salarpuria Sattva. It is offering Under Construction units. If you are looking at Apartment, you should check out Sattva Ashraya. Set in an expanse of 4.2 Acres , the property offers a remarkable lifestyle. Available configurations include 1 BHK, 2 BHK, 3 BHK. As per the area plan, units are in the size range of 339.0 - 646.0 sq.ft.. Project possession is slated for Mar, 2025. There are 4 buildings  in this project. Total number of flats at Sattva Ashraya is 660. Sattva Ashraya is located in Lakshmisagara, Bidadi. There are 660 units in this residential project.Come home to Sattva Ashraya. It offers multiple facilities such as Gymnasium. For families with kids, there is Children's Play Area, nearby apart from Swimming Pool. If you are passionate about sports, you will enjoy the facilities such as Skating Rink, Basketball Court. You will also get access to Library, provisions in the project. These amenities make this property totally aspirational.Sattva Ashraya has all approvals in place as mandated by the state regulatory authority. RERA ID of this project is PRM/KA/RERA/1270/302/PR/210731/004204.Salarpuria Sattva is a renowned name in the real estate space. Founded in 1986, the company has developed as many as 63 projects.Social infrastructure like banks, schools and parks surround Lakshmisagara area.  It is also very well-connected to various parts of the city by public transport network.","['https://is1-2.housingcdn.com/4f2250e8/54d87d0dc0f50a221532e2454fe2b971/v0/_p/sattva_ashraya-bidadi_1-bengaluru-salarpuria_sattva.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/54d87d0dc0f50a221532e2454fe2b971/v0/large/sattva_ashraya-bidadi_1-bengaluru-salarpuria_sattva.jpeg', 'https://img.youtube.com/vi/DMiJlu1Shfc/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/351f763ca076e8213b9f7b15acedc319/v0/_p.jpeg']"
62,Provident Tivoli Hills,"Devanahalli, Nandi Hill Road, Bangalore",Residential Plots,"Sep, 2023",5.58 K/sq.ft,1200.00 sq.ft. - 3200.00 sq.ft.,61 Acres (51% open),839 units,,"Puravankara Tivoli Hills is a residential plot by Puravankara Limited. This plot is available for sale in Devanahalli, Bangalore. This project offers plots in various sizes. The minimum plot size is 1200.0 sq.ft. and the maximum size is 3200.0 sq.ft.. The address of Puravankara Tivoli Hills is Devanahalli.Puravankara Tivoli Hills ensures a coveted lifestyle and offers a convenient living. It offers facilities such as Gymnasium, Power Backup.  For families with kids, there is Children's Play Area, Kid's Pool, nearby apart from Swimming Pool. Sports enthusiasts can also make the most of Tennis Court, Cricket Pitch, Skating Rink, Aerobics Room, Basketball Court, Badminton Court.  The property is equipped with Fire Sprinklers.Puravankara Limited is a reputed developer firm established in 1975. The firm has since then developed 78 and focuses on customer-centricity. Check out Puravankara Tivoli Hills brochure for more details.Devanahalli is well-connected to other parts of city by road, which passes through the heart of this suburb. Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-2.housingcdn.com/4f2250e8/046397c05f81f547624a89c5317a2051/v0/_p/provident_tivoli_hills-devanahalli-bengaluru-provident_housing_limited.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/046397c05f81f547624a89c5317a2051/v0/large/provident_tivoli_hills-devanahalli-bengaluru-provident_housing_limited.jpeg', 'https://img.youtube.com/vi/rGnldUmxMxg/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/0c47796f0d85088cf5a8c4aa5e851efb/v0/_p.jpeg']"
63,Sattva Ashraya,"Lakshmisagara, Bidadi, Mysore-Bangalore Road, Bangalore","1, 2, 3 BHK Apartments","Mar, 2025",5.83 K/sq.ft,339.00 sq.ft. - 646.00 sq.ft.,4.2 Acres,4 Buildings - 660 units,,"Property for sale in Bidadi, Bangalore. This project, that is, Sattva Ashraya is a well designed project by Salarpuria Sattva. It is offering Under Construction units. If you are looking at Apartment, you should check out Sattva Ashraya. Set in an expanse of 4.2 Acres , the property offers a remarkable lifestyle. Available configurations include 1 BHK, 2 BHK, 3 BHK. As per the area plan, units are in the size range of 339.0 - 646.0 sq.ft.. Project possession is slated for Mar, 2025. There are 4 buildings  in this project. Total number of flats at Sattva Ashraya is 660. Sattva Ashraya is located in Lakshmisagara, Bidadi. There are 660 units in this residential project.Come home to Sattva Ashraya. It offers multiple facilities such as Gymnasium. For families with kids, there is Children's Play Area, nearby apart from Swimming Pool. If you are passionate about sports, you will enjoy the facilities such as Skating Rink, Basketball Court. You will also get access to Library, provisions in the project. These amenities make this property totally aspirational.Sattva Ashraya has all approvals in place as mandated by the state regulatory authority. RERA ID of this project is PRM/KA/RERA/1270/302/PR/210731/004204.Salarpuria Sattva is a renowned name in the real estate space. Founded in 1986, the company has developed as many as 63 projects.Social infrastructure like banks, schools and parks surround Lakshmisagara area.  It is also very well-connected to various parts of the city by public transport network.","['https://is1-2.housingcdn.com/4f2250e8/54d87d0dc0f50a221532e2454fe2b971/v0/_p/sattva_ashraya-bidadi_1-bengaluru-salarpuria_sattva.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/54d87d0dc0f50a221532e2454fe2b971/v0/large/sattva_ashraya-bidadi_1-bengaluru-salarpuria_sattva.jpeg', 'https://img.youtube.com/vi/DMiJlu1Shfc/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/351f763ca076e8213b9f7b15acedc319/v0/_p.jpeg']"
64,Sattva Ashraya,"Lakshmisagara, Bidadi, Mysore-Bangalore Road, Bangalore","1, 2, 3 BHK Apartments","Mar, 2025",5.83 K/sq.ft,339.00 sq.ft. - 646.00 sq.ft.,4.2 Acres,4 Buildings - 660 units,,"Property for sale in Bidadi, Bangalore. This project, that is, Sattva Ashraya is a well designed project by Salarpuria Sattva. It is offering Under Construction units. If you are looking at Apartment, you should check out Sattva Ashraya. Set in an expanse of 4.2 Acres , the property offers a remarkable lifestyle. Available configurations include 1 BHK, 2 BHK, 3 BHK. As per the area plan, units are in the size range of 339.0 - 646.0 sq.ft.. Project possession is slated for Mar, 2025. There are 4 buildings  in this project. Total number of flats at Sattva Ashraya is 660. Sattva Ashraya is located in Lakshmisagara, Bidadi. There are 660 units in this residential project.Come home to Sattva Ashraya. It offers multiple facilities such as Gymnasium. For families with kids, there is Children's Play Area, nearby apart from Swimming Pool. If you are passionate about sports, you will enjoy the facilities such as Skating Rink, Basketball Court. You will also get access to Library, provisions in the project. These amenities make this property totally aspirational.Sattva Ashraya has all approvals in place as mandated by the state regulatory authority. RERA ID of this project is PRM/KA/RERA/1270/302/PR/210731/004204.Salarpuria Sattva is a renowned name in the real estate space. Founded in 1986, the company has developed as many as 63 projects.Social infrastructure like banks, schools and parks surround Lakshmisagara area.  It is also very well-connected to various parts of the city by public transport network.","['https://is1-2.housingcdn.com/4f2250e8/54d87d0dc0f50a221532e2454fe2b971/v0/_p/sattva_ashraya-bidadi_1-bengaluru-salarpuria_sattva.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/54d87d0dc0f50a221532e2454fe2b971/v0/large/sattva_ashraya-bidadi_1-bengaluru-salarpuria_sattva.jpeg', 'https://img.youtube.com/vi/DMiJlu1Shfc/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/351f763ca076e8213b9f7b15acedc319/v0/_p.jpeg']"
65,Sattva Ashraya,"Lakshmisagara, Bidadi, Mysore-Bangalore Road, Bangalore","1, 2, 3 BHK Apartments","Mar, 2025",5.83 K/sq.ft,339.00 sq.ft. - 646.00 sq.ft.,4.2 Acres,4 Buildings - 660 units,,"Property for sale in Bidadi, Bangalore. This project, that is, Sattva Ashraya is a well designed project by Salarpuria Sattva. It is offering Under Construction units. If you are looking at Apartment, you should check out Sattva Ashraya. Set in an expanse of 4.2 Acres , the property offers a remarkable lifestyle. Available configurations include 1 BHK, 2 BHK, 3 BHK. As per the area plan, units are in the size range of 339.0 - 646.0 sq.ft.. Project possession is slated for Mar, 2025. There are 4 buildings  in this project. Total number of flats at Sattva Ashraya is 660. Sattva Ashraya is located in Lakshmisagara, Bidadi. There are 660 units in this residential project.Come home to Sattva Ashraya. It offers multiple facilities such as Gymnasium. For families with kids, there is Children's Play Area, nearby apart from Swimming Pool. If you are passionate about sports, you will enjoy the facilities such as Skating Rink, Basketball Court. You will also get access to Library, provisions in the project. These amenities make this property totally aspirational.Sattva Ashraya has all approvals in place as mandated by the state regulatory authority. RERA ID of this project is PRM/KA/RERA/1270/302/PR/210731/004204.Salarpuria Sattva is a renowned name in the real estate space. Founded in 1986, the company has developed as many as 63 projects.Social infrastructure like banks, schools and parks surround Lakshmisagara area.  It is also very well-connected to various parts of the city by public transport network.","['https://is1-2.housingcdn.com/4f2250e8/54d87d0dc0f50a221532e2454fe2b971/v0/_p/sattva_ashraya-bidadi_1-bengaluru-salarpuria_sattva.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/54d87d0dc0f50a221532e2454fe2b971/v0/large/sattva_ashraya-bidadi_1-bengaluru-salarpuria_sattva.jpeg', 'https://img.youtube.com/vi/DMiJlu1Shfc/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/351f763ca076e8213b9f7b15acedc319/v0/_p.jpeg']"
66,Sattva Ashraya,"Lakshmisagara, Bidadi, Mysore-Bangalore Road, Bangalore","1, 2, 3 BHK Apartments","Mar, 2025",5.83 K/sq.ft,339.00 sq.ft. - 646.00 sq.ft.,4.2 Acres,4 Buildings - 660 units,,"Property for sale in Bidadi, Bangalore. This project, that is, Sattva Ashraya is a well designed project by Salarpuria Sattva. It is offering Under Construction units. If you are looking at Apartment, you should check out Sattva Ashraya. Set in an expanse of 4.2 Acres , the property offers a remarkable lifestyle. Available configurations include 1 BHK, 2 BHK, 3 BHK. As per the area plan, units are in the size range of 339.0 - 646.0 sq.ft.. Project possession is slated for Mar, 2025. There are 4 buildings  in this project. Total number of flats at Sattva Ashraya is 660. Sattva Ashraya is located in Lakshmisagara, Bidadi. There are 660 units in this residential project.Come home to Sattva Ashraya. It offers multiple facilities such as Gymnasium. For families with kids, there is Children's Play Area, nearby apart from Swimming Pool. If you are passionate about sports, you will enjoy the facilities such as Skating Rink, Basketball Court. You will also get access to Library, provisions in the project. These amenities make this property totally aspirational.Sattva Ashraya has all approvals in place as mandated by the state regulatory authority. RERA ID of this project is PRM/KA/RERA/1270/302/PR/210731/004204.Salarpuria Sattva is a renowned name in the real estate space. Founded in 1986, the company has developed as many as 63 projects.Social infrastructure like banks, schools and parks surround Lakshmisagara area.  It is also very well-connected to various parts of the city by public transport network.","['https://is1-2.housingcdn.com/4f2250e8/54d87d0dc0f50a221532e2454fe2b971/v0/_p/sattva_ashraya-bidadi_1-bengaluru-salarpuria_sattva.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/54d87d0dc0f50a221532e2454fe2b971/v0/large/sattva_ashraya-bidadi_1-bengaluru-salarpuria_sattva.jpeg', 'https://img.youtube.com/vi/DMiJlu1Shfc/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/351f763ca076e8213b9f7b15acedc319/v0/_p.jpeg']"
67,Sattva Ashraya,"Lakshmisagara, Bidadi, Mysore-Bangalore Road, Bangalore","1, 2, 3 BHK Apartments","Mar, 2025",5.83 K/sq.ft,339.00 sq.ft. - 646.00 sq.ft.,4.2 Acres,4 Buildings - 660 units,,"Property for sale in Bidadi, Bangalore. This project, that is, Sattva Ashraya is a well designed project by Salarpuria Sattva. It is offering Under Construction units. If you are looking at Apartment, you should check out Sattva Ashraya. Set in an expanse of 4.2 Acres , the property offers a remarkable lifestyle. Available configurations include 1 BHK, 2 BHK, 3 BHK. As per the area plan, units are in the size range of 339.0 - 646.0 sq.ft.. Project possession is slated for Mar, 2025. There are 4 buildings  in this project. Total number of flats at Sattva Ashraya is 660. Sattva Ashraya is located in Lakshmisagara, Bidadi. There are 660 units in this residential project.Come home to Sattva Ashraya. It offers multiple facilities such as Gymnasium. For families with kids, there is Children's Play Area, nearby apart from Swimming Pool. If you are passionate about sports, you will enjoy the facilities such as Skating Rink, Basketball Court. You will also get access to Library, provisions in the project. These amenities make this property totally aspirational.Sattva Ashraya has all approvals in place as mandated by the state regulatory authority. RERA ID of this project is PRM/KA/RERA/1270/302/PR/210731/004204.Salarpuria Sattva is a renowned name in the real estate space. Founded in 1986, the company has developed as many as 63 projects.Social infrastructure like banks, schools and parks surround Lakshmisagara area.  It is also very well-connected to various parts of the city by public transport network.","['https://is1-2.housingcdn.com/4f2250e8/54d87d0dc0f50a221532e2454fe2b971/v0/_p/sattva_ashraya-bidadi_1-bengaluru-salarpuria_sattva.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/54d87d0dc0f50a221532e2454fe2b971/v0/large/sattva_ashraya-bidadi_1-bengaluru-salarpuria_sattva.jpeg', 'https://img.youtube.com/vi/DMiJlu1Shfc/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/351f763ca076e8213b9f7b15acedc319/v0/_p.jpeg']"
68,Sattva Ashraya,"Lakshmisagara, Bidadi, Mysore-Bangalore Road, Bangalore","1, 2, 3 BHK Apartments","Mar, 2025",5.83 K/sq.ft,339.00 sq.ft. - 646.00 sq.ft.,4.2 Acres,4 Buildings - 660 units,,"Property for sale in Bidadi, Bangalore. This project, that is, Sattva Ashraya is a well designed project by Salarpuria Sattva. It is offering Under Construction units. If you are looking at Apartment, you should check out Sattva Ashraya. Set in an expanse of 4.2 Acres , the property offers a remarkable lifestyle. Available configurations include 1 BHK, 2 BHK, 3 BHK. As per the area plan, units are in the size range of 339.0 - 646.0 sq.ft.. Project possession is slated for Mar, 2025. There are 4 buildings  in this project. Total number of flats at Sattva Ashraya is 660. Sattva Ashraya is located in Lakshmisagara, Bidadi. There are 660 units in this residential project.Come home to Sattva Ashraya. It offers multiple facilities such as Gymnasium. For families with kids, there is Children's Play Area, nearby apart from Swimming Pool. If you are passionate about sports, you will enjoy the facilities such as Skating Rink, Basketball Court. You will also get access to Library, provisions in the project. These amenities make this property totally aspirational.Sattva Ashraya has all approvals in place as mandated by the state regulatory authority. RERA ID of this project is PRM/KA/RERA/1270/302/PR/210731/004204.Salarpuria Sattva is a renowned name in the real estate space. Founded in 1986, the company has developed as many as 63 projects.Social infrastructure like banks, schools and parks surround Lakshmisagara area.  It is also very well-connected to various parts of the city by public transport network.","['https://is1-2.housingcdn.com/4f2250e8/54d87d0dc0f50a221532e2454fe2b971/v0/_p/sattva_ashraya-bidadi_1-bengaluru-salarpuria_sattva.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/54d87d0dc0f50a221532e2454fe2b971/v0/large/sattva_ashraya-bidadi_1-bengaluru-salarpuria_sattva.jpeg', 'https://img.youtube.com/vi/DMiJlu1Shfc/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/351f763ca076e8213b9f7b15acedc319/v0/_p.jpeg']"
69,Sattva Ashraya,"Lakshmisagara, Bidadi, Mysore-Bangalore Road, Bangalore","1, 2, 3 BHK Apartments","Mar, 2025",5.83 K/sq.ft,339.00 sq.ft. - 646.00 sq.ft.,4.2 Acres,4 Buildings - 660 units,,"Property for sale in Bidadi, Bangalore. This project, that is, Sattva Ashraya is a well designed project by Salarpuria Sattva. It is offering Under Construction units. If you are looking at Apartment, you should check out Sattva Ashraya. Set in an expanse of 4.2 Acres , the property offers a remarkable lifestyle. Available configurations include 1 BHK, 2 BHK, 3 BHK. As per the area plan, units are in the size range of 339.0 - 646.0 sq.ft.. Project possession is slated for Mar, 2025. There are 4 buildings  in this project. Total number of flats at Sattva Ashraya is 660. Sattva Ashraya is located in Lakshmisagara, Bidadi. There are 660 units in this residential project.Come home to Sattva Ashraya. It offers multiple facilities such as Gymnasium. For families with kids, there is Children's Play Area, nearby apart from Swimming Pool. If you are passionate about sports, you will enjoy the facilities such as Skating Rink, Basketball Court. You will also get access to Library, provisions in the project. These amenities make this property totally aspirational.Sattva Ashraya has all approvals in place as mandated by the state regulatory authority. RERA ID of this project is PRM/KA/RERA/1270/302/PR/210731/004204.Salarpuria Sattva is a renowned name in the real estate space. Founded in 1986, the company has developed as many as 63 projects.Social infrastructure like banks, schools and parks surround Lakshmisagara area.  It is also very well-connected to various parts of the city by public transport network.","['https://is1-2.housingcdn.com/4f2250e8/54d87d0dc0f50a221532e2454fe2b971/v0/_p/sattva_ashraya-bidadi_1-bengaluru-salarpuria_sattva.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/54d87d0dc0f50a221532e2454fe2b971/v0/large/sattva_ashraya-bidadi_1-bengaluru-salarpuria_sattva.jpeg', 'https://img.youtube.com/vi/DMiJlu1Shfc/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/351f763ca076e8213b9f7b15acedc319/v0/_p.jpeg']"
70,Casa Grand Boulevard,"Sy. No. 45, 46 And 47, Chikkagubbi On Hennur Main Road, North Bangalore, Bangalore","2, 3, 4 BHK Apartments","Oct, 2022",Price on request,1234.00 sq.ft. - 2277.00 sq.ft.,7.67 Acres (60% open),2 Buildings - 370 units,"Sep, 2020",,"['https://is1-2.housingcdn.com/4f2250e8/8a458e1a0f01f237fa5a9c8b355ef230/v0/_p/casa_grand_boulevard-hennur_main_road-bengaluru-casagrand_builder_private_limited.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/8a458e1a0f01f237fa5a9c8b355ef230/v0/large/casa_grand_boulevard-hennur_main_road-bengaluru-casagrand_builder_private_limited.jpeg', 'https://img.youtube.com/vi/l4tPreYgs9M/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/4183dd70a626b8fa106c50a314efe12b/v0/_p.jpeg']"
71,Provident Tivoli Hills,"Devanahalli, Nandi Hill Road, Bangalore",Residential Plots,"Sep, 2023",5.58 K/sq.ft,1200.00 sq.ft. - 3200.00 sq.ft.,61 Acres (51% open),839 units,,"Puravankara Tivoli Hills is a residential plot by Puravankara Limited. This plot is available for sale in Devanahalli, Bangalore. This project offers plots in various sizes. The minimum plot size is 1200.0 sq.ft. and the maximum size is 3200.0 sq.ft.. The address of Puravankara Tivoli Hills is Devanahalli.Puravankara Tivoli Hills ensures a coveted lifestyle and offers a convenient living. It offers facilities such as Gymnasium, Power Backup.  For families with kids, there is Children's Play Area, Kid's Pool, nearby apart from Swimming Pool. Sports enthusiasts can also make the most of Tennis Court, Cricket Pitch, Skating Rink, Aerobics Room, Basketball Court, Badminton Court.  The property is equipped with Fire Sprinklers.Puravankara Limited is a reputed developer firm established in 1975. The firm has since then developed 78 and focuses on customer-centricity. Check out Puravankara Tivoli Hills brochure for more details.Devanahalli is well-connected to other parts of city by road, which passes through the heart of this suburb. Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-2.housingcdn.com/4f2250e8/046397c05f81f547624a89c5317a2051/v0/_p/provident_tivoli_hills-devanahalli-bengaluru-provident_housing_limited.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/046397c05f81f547624a89c5317a2051/v0/large/provident_tivoli_hills-devanahalli-bengaluru-provident_housing_limited.jpeg', 'https://img.youtube.com/vi/rGnldUmxMxg/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/0c47796f0d85088cf5a8c4aa5e851efb/v0/_p.jpeg']"
72,Adarsh Tranqville,"Sy. No. 92, Bidarahalli Hobli, Chikkagubbi On Hennur Main Road, North Bangalore, Bangalore",4 BHK Villa,"Feb, 2022",9.10 K/sq.ft,4284.00 sq.ft.,14 Acres,106 units,"Jan, 2019","Coming from the well-reputed house of Adarsh Developers, Tranqville a one of a kind residential real estate project in the zone. Go for it, if you want to recline in peace away from the hustle and bustle of the big city at Chikkagubbi on Hennur Main Road, Bangalore and enjoy life to the full. The 2 and 3 BHK well designed and chic apartments have been placed a stroll away from Medi Derma Hospital. Lively design and perfect craftsmanship have made Tranqville into heaven and fitting home for your modern life, and you can look forward to many decades of gracious and joyful fancies in its lap. Made with the exceptional quality building materials and with an eye to every point these flats are the definitive word in elegant luxury. Enjoy the beautiful greenery and relax in the freedom of your own living space. Let your lovely family blossom in its freedom. It is a fitting investment for all homeowners.","['https://is1-3.housingcdn.com/4f2250e8/aa1a64e2fc418b0e1fadb2217d40bf0a/v0/_p/adarsh_tranqville-hennur_main_road-bengaluru-adarsh_developers.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/aa1a64e2fc418b0e1fadb2217d40bf0a/v0/large/adarsh_tranqville-hennur_main_road-bengaluru-adarsh_developers.jpeg', 'https://img.youtube.com/vi/1iJ7PdNiFCY/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/1b59afb168cde2efd4f5b32fbebf2926/v0/_p.jpeg']"
73,Rohan Upavan Phase 4,"Kyalasanahalli Village, Avalahalli Main Road, Near Byrathi Cross, Narayanapura On Hennur Main Road, North Bangalore, Bangalore","1, 1.5, 2, 3 BHK Apartments","Mar, 2026",4.88 K/sq.ft,610.00 sq.ft. - 1830.00 sq.ft.,1 Acres,118 units,"May, 2019","Bangalore based Rohan Builders And Developers have come up with their new residential project Upavan Phase 4. The project is strategically located at Narayanapura bordered by Hennur Main Road. The project is spread over a total of 0.9 acres and will provide the homeowners with 1, 2, and 3BHK apartments which are aesthetically designed with maximum area efficiency. The coverage area of the apartments ranges from 610 to 1830 sq. ft.Narayanapura is bordered by Hennur Main Road on the east and the Narayanapura Cross Road on the west. The place is located close to Kothanur, Defence Enclave, Hanumanthappa Layout, the Indradhanush Layout and Sangam Enclave. The locality offers a comprehensive network of roadways and railways. The City Junction Railway Station is located 19.3 km from Narayanapura and can be reached within 30 minutes via the Outer Ring Road. The HAL International Airport is located at a distance of 16.7 km from the area. BMTC buses serve the area very well. If you wish to turn your dream of owning a home, then do not wait and check out the project site quickly.","['https://is1-2.housingcdn.com/4f2250e8/a046d29b6bfb6d114f2f99d0f6af514e/v0/_p/rohan_upavan_phase_4-hennur_main_road-bengaluru-rohan_builders_i_pvt_ltd.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/a046d29b6bfb6d114f2f99d0f6af514e/v0/large/rohan_upavan_phase_4-hennur_main_road-bengaluru-rohan_builders_i_pvt_ltd.jpeg', 'https://img.youtube.com/vi/2JhEwQK6Wkk/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/17a9e3f17fc84a598cc61e4fbc35ba94/v0/_p.jpeg']"
74,Salarpuria Sattva Northland,"Chikkagubbi On Hennur Main Road, North Bangalore, Bangalore",4 BHK Villa,Ready to Move,7.59 K/sq.ft,3564.00 sq.ft. - 3676.00 sq.ft.,2 Acres,34 units,,"Bangalore's residential project, Salarpuria Sattva Northland is offering property for sale. Check out some Villa. Available configurations include 4 BHK formats in Chikkagubbi Village. It is a Ready to Move project by Salarpuria Sattva. Salarpuria Sattva Northland is set in an area of 2 Acres and is complete with various modern-day amenities. As per the area plan, units are in the size range of 3564.0 - 3676.0 sq.ft.. There are 34 units in Salarpuria Sattva Northland. There is 1 building. Salarpuria Sattva Northland is located in Chikkagubbi On Hennur Main Road.There are multiple amenities for residents at Salarpuria Sattva Northland which includes Service Lift, Gymnasium, Power Backup. Young families with children will love the Children's Play Area, nearby apart from Swimming Pool, Sports Area. Sports enthusiasts will like the Cycling & Jogging Track. Enjoy access to Barbecue Area, provisions in the project. There is 24x7 Security. Other provisions include access to Landscaped Garden, Landscaping & Tree Planting, Multipurpose Room, Maintenance Staff. Own a home in Salarpuria Sattva Northland today!.Salarpuria Sattva Northland is a RERA registered project with ID Rera Not Required.Chikkagubbi Village is well-connected to other parts of city by road, which passes through the heart of this suburb. Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-3.housingcdn.com/4f2250e8/9c631b00302c0865bc869b9f00eff808/v0/_p/salarpuria_sattva_northland-hennur-bengaluru-salarpuria_sattva.jpg', 'https://is1-3.housingcdn.com/4f2250e8/9c631b00302c0865bc869b9f00eff808/v0/large/salarpuria_sattva_northland-hennur-bengaluru-salarpuria_sattva.jpg', 'https://is1-2.housingcdn.com/012c1500/75bdd12e954b55b21d22ee2b548a0713/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/a7cc3d59937de2049efa33f0b84a55c7/v0/_p.jpeg']"
