,Flat Name,Flat address,Configurations,Possession_Starts,Avg. Price,Sizes,About,images,Project Area,Project Size,Launch Date
20,Livin Green,"Horizon Green , Near TCS , Kulup Wadi, Raheja Estate, Borivvali East, Western Suburbs, Mumbai",2 BHK Apartment,Ready to Move,23.92 K/sq.ft,740.00 sq.ft.,"Mumbai's residential project, Horizon Green is offering property for sale. Check out some Apartment. Available configurations include 2 BHK formats in Borivali East. It is a Ready to Move project by Prashanti Enterprises. As per the area plan, units are in the size range of 740.0 - 767.0 sq.ft.. Horizon Green is located in Near TCS, Kulupwadi, Borivali East.There are multiple amenities for residents at Horizon Green which includes Gymnasium. Young families with children will love the Children's Play Area, nearby apart from Swimming Pool. Sports enthusiasts will like the Badminton Court. There is 24x7 Security. Own a home in Horizon Green today!.Horizon Green is a RERA registered project with ID Rera Not Required.Borivali East is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-2.housingcdn.com/4f2250e8/dee93dee7c8c2b4b3d9fe0fef26ad9e4/v0/_p/livin_green-borivali_east-mumbai-prashasti_enterprises.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/dee93dee7c8c2b4b3d9fe0fef26ad9e4/v0/large/livin_green-borivali_east-mumbai-prashasti_enterprises.jpeg', 'https://is1-3.housingcdn.com/012c1500/1ad37882d666062930c4f9f456dccf71/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/30ff186e57a1e4f07d5bcb98d86cab01/v0/_p.jpeg']",,,
21,Shreeji Daivi,"Saibaba Nagar, Borivali West, Western Suburbs, Mumbai","2, 3, 4 BHK Apartments","Dec, 2026",15.06 K/sq.ft,742.00 sq.ft. - 1691.00 sq.ft.,"Shreeji Daivi is a project by Yash Development in Mumbai. It is a Under Construction project. Shreeji Daivi offers some of the most conveniently designed Apartment. Located in Borivali West, it is a residential project. The project is spread over 0.75 Acres . It has 353 units. There is 1 building in this project. Shreeji Daivi offers some of the most exclusive 2 BHK, 3 BHK, 4 BHK. As per the area plan, units are in the size range of 742.0 - 1691.0 sq.ft.. The address of Shreeji Daivi is Saibaba Nagar, Borivali West.Shreeji Daivi ensures a coveted lifestyle and offers a convenient living. The property has Fire Protection And Fire Safety Requirements. Some other provisions include access to Energy management, Landscaping & Tree Planting, Solid Waste Management And Disposal, Storm Water Drains, Sewage Treatment Plant. There is provision for Closed Car Parking.The project is RERA compliant and fulfils all necessities as required by the authorities. RERA ID of Shreeji Daivi is P51800029609.Till date, Yash Development has developed 1 projects with a focus on healthy and sustainable lifestyle.Borivali West is well-connected to other parts of the city via an extensive road.","['https://is1-3.housingcdn.com/4f2250e8/fb63df0ff90385d101238cecf5b7e8a7/v0/_p/shreeji_daivi-borivali_west_1-mumbai-yash_development.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/fb63df0ff90385d101238cecf5b7e8a7/v0/large/shreeji_daivi-borivali_west_1-mumbai-yash_development.jpeg', 'https://is1-3.housingcdn.com/012c1500/edbf1db1c74350d463cfec9773bd092a/v0/_p.jpeg', 'https://is1-2.housingcdn.com/012c1500/b82e68a58c6f282cf7ba39ea3318c472/v0/_p.jpeg']",0.75 Acres,1 Building - 353 units,
22,Rishabraj Agnel,"Borivali West, Western Suburbs, Mumbai","1, 2 BHK Apartments","Aug, 2024",26.00 K/sq.ft,406.00 sq.ft. - 642.00 sq.ft.,"Check out this residential project for sale by Rishabraj Estate Developers Pvt  Ltd in Borivali West, Mumbai. Rishabraj Agnel offers Apartment as property type. The project has been developed in an area of 0.19 Acres . It is currently Under Construction. Available configurations include 1 BHK, 2 BHK. As per the area plan, units are in the size range of 406.0 - 642.0 sq.ft.. Rishabraj Agnel was launched in August 2021. Rishabraj Agnel possession is Aug, 2024. Altogether, there are 21 units available. There is 1 building in this property. The address of Rishabraj Agnel is Borivali West.At Rishabraj Agnel, all residents have easy access to some of the truly desired facilities such as Power Backup. The property has Fire Protection And Fire Safety Requirements. Some other provisions include access to Landscaping & Tree Planting, Solid Waste Management And Disposal, Storm Water Drains, There is provision for Closed Car Parking. Come home to Rishabraj Agnel.Rishabraj Agnel is approved by the state regulatory authority and the RERA ID is P51800030530.Rishabraj Estate Developers Pvt  Ltd is a renowned developer firm.Borivali West is a prime area, with many attractions work and recreational options just a drive away.","['https://is1-2.housingcdn.com/4f2250e8/09ad2d939629864046c3f967fb064639/v0/_p/rishabraj_agnel-borivali_west_1-mumbai-rishabraj_estate_developers_pvt_ltd.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/09ad2d939629864046c3f967fb064639/v0/large/rishabraj_agnel-borivali_west_1-mumbai-rishabraj_estate_developers_pvt_ltd.jpeg']",0.19 Acres,1 Building - 21 units,"Jul, 2021"
23,Hirani Mary Villa,"Maryland Complex, I C Colony, Borivali West, Western Suburbs, Mumbai","2, 3 BHK Apartments","Dec, 2023",27.00 K/sq.ft,552.00 sq.ft. - 698.00 sq.ft.,"Hirani Mary Villa is a residential project in Borivali West, Mumbai. It is set in an area of 0.09 Acres . Hirani Mary Villa offers Apartment. Available configurations include 2 BHK, 3 BHK. Apartment, as per the area plan, are in the size range of 552.0 - 698.0 sq.ft.. The property is Under Construction. There is 1 building for sale. Hirani Mary Villa is located in Maryland Complex, I C Colony, Borivali West. The project is developed by Hirani Group. There are 7 units for sale.Hirani Mary Villa is equipped with various resident-centric amenities that includes Gymnasium. There is 24x7 Security. There is provision for Open Car Parking, Closed Car Parking. Enjoy a class-apart lifestyle at Hirani Mary Villa.This project meets all mandates as required by the state authority. RERA ID of Hirani Mary Villa is P51800031597.Located close to prominent suburbs of Mumbai, the area of Borivali West has prominent schools and hospitals within a close distance.","['https://is1-2.housingcdn.com/4f2250e8/22e74b7ffc1964a7bdd77af0f32e4c9a/v0/_p/hirani_mary_villa-borivali_west_1-mumbai-hirani_group.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/22e74b7ffc1964a7bdd77af0f32e4c9a/v0/large/hirani_mary_villa-borivali_west_1-mumbai-hirani_group.jpeg', 'https://is1-3.housingcdn.com/012c1500/1fbeb290b21efc1694266d97fb874bf4/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/8af4e1793ba12cd8f40269b04c6aaa1d/v0/_p.jpeg']",0.09 Acres,1 Building - 7 units,
24,Madonna,"Madonna Apartment, Madonna Colony, Mandapeshwar, Borivali West, Western Suburbs, Mumbai","1, 2 BHK Apartments","Jun, 2022",24.00 K/sq.ft,450.00 sq.ft. - 630.00 sq.ft.,"A residential project offers exclusive 1 BHK and 2 BHK apartments at an affordable price. It is an address that is an oasis of calm, peace and magnificence in the hustle-bustle of the city. Your home will now serve as a perfect getaway after a tiring day at work, as the ambience of Madonna will make you forget that you are in the heart of the city. Madonna brings a lifestyle that befits royalty with the batch of magnificent apartments at Borivali. These residential apartments in Borivali offer limited edition luxury boutique houses that amazingly escapes the noise of the city center. The floor plan of Madonna presents the most exciting and dynamic floor plans designed for a lavish lifestyle.","['https://is1-3.housingcdn.com/4f2250e8/7438ffc2911c0025387a1619d986b459/v0/_p/madonna-borivali_west_1-mumbai-shreeji_sharan_group.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/7438ffc2911c0025387a1619d986b459/v0/large/madonna-borivali_west_1-mumbai-shreeji_sharan_group.jpeg', 'https://is1-2.housingcdn.com/012c1500/8fe5b8ea6282b847dc65df11d7594523/v0/_p.jpeg']",,1 Building - 36 units,"Aug, 2017"
25,Prasham Vishal 2,"FP No 743 At Borivali West, Western Suburbs, Mumbai","1, 2, 3, 3.5 BHK Apartments","Dec, 2022",27.00 K/sq.ft,423.00 sq.ft. - 904.00 sq.ft.,"Situated in Mumbai at Borivali West, Prasham Vishal 2 is a residential development launched by Prasham Realtors. This project provides a vast range of amenities including Lift. Prominent suburbs of Mumbai are close by and with several schools, hospitals, banks and offices situated in the proximity, the project is a preferred choice for home seekers.","['https://is1-2.housingcdn.com/4f2250e8/860804411e509222d6c11f625fb34ecf/v0/_p/prasham_vishal_2-borivali_west_1-mumbai-prasham_realtors.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/860804411e509222d6c11f625fb34ecf/v0/large/prasham_vishal_2-borivali_west_1-mumbai-prasham_realtors.jpeg', 'https://is1-2.housingcdn.com/012c1500/4c6aec6d43942615207d35195ac3caa2/v0/_p.jpeg', 'https://is1-2.housingcdn.com/012c1500/8989d3457905f208f09351fd1265c709/v0/_p.jpeg']",,1 Building - 22 units,"Dec, 2015"
26,Shree Umiya Garuda Zenith,"Borivali West, Western Suburbs, Mumbai","1, 2, 3 BHK Apartments","Jun, 2024",26.00 K/sq.ft,482.00 sq.ft. - 995.00 sq.ft.,"Shree Umiya Garuda Zenith is a residential project developed by Messers Shree Umiya Builders And Developers at Borivali West in Mumbai. The project aims to offer a comfortable living condition to the residents by encompassing Power Backup and Gymnasium, adding to its existing many facilities. ","['https://is1-3.housingcdn.com/4f2250e8/1cce818f61cda8866f4371de7aa1afa1/v0/_p/shree_umiya_garuda_zenith-borivali_west_1-mumbai-messers_shree_umiya_builders_and_developers.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/1cce818f61cda8866f4371de7aa1afa1/v0/large/shree_umiya_garuda_zenith-borivali_west_1-mumbai-messers_shree_umiya_builders_and_developers.jpeg', 'https://img.youtube.com/vi/9Vys_ViptVk/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/55bacff86caeb41ed7da78520c5a5d81/v0/_p.jpeg']",1 Acres,1 Building - 178 units,"Aug, 2017"
27,Amann Solitaire B Wing,"Chandavarkar Road, Borivali Station Road, Borivali West, Western Suburbs, Mumbai","2, 3 BHK Apartments",Under Construction,15.56 K/sq.ft,1375.00 sq.ft. - 1825.00 sq.ft.,"Mumbai's residential project, Amann Solitaire B Wing is offering property for sale. Check out some Apartment. Available configurations include 2 BHK, 3 BHK formats in Borivali West. It is a Under Construction project by Amann Group. As per the area plan, units are in the size range of 1375.0 - 1825.02 sq.ft.. There are 77 units in Amann Solitaire B Wing. Amann Solitaire B Wing is located in Chandavarkar Road, Borivali Station Road, Borivali West.The property has Fire Protection And Fire Safety Requirements. Other provisions include access to Aggregate area of recreational Open Space, Electrical Meter Room, Storm Water Drains. Own a home in Amann Solitaire B Wing today!.Banks such as PNB Housing Finance, Axis Bank, LIC Housing Finance, HDFC, Indiabulls Finance, IIFL, Citibank, L&T Housing Finance, DHFL have approved financing for Amann Solitaire B Wing.Amann Solitaire B Wing is a RERA registered project with ID P51800006553.Borivali West is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.",[],1 Acres,77 units,
28,Konark Alpha Residency,"Plot No. 2216 At Borivali West, Western Suburbs, Mumbai",3 BHK Apartment,"Oct, 2019",25.00 K/sq.ft,857.00 sq.ft.,"Konark Alpha Residency is a residential project by Konark Shakti Group of Companies located at Borivali West in Mumbai. The key amenities of the project include . Owing to its location, facilities such as schools, hospitals, ATMs, and markets are available at a close distance from Konark Alpha Residency. An extensive network of public transports in the close vicinity makes the project accessible.","['https://is1-3.housingcdn.com/4f2250e8/fd57b378503dea3b22e88c8a6a55e2fe/v0/_p/konark_alpha_residency-borivali_west_1-mumbai-konark_shakti_developers.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/fd57b378503dea3b22e88c8a6a55e2fe/v0/large/konark_alpha_residency-borivali_west_1-mumbai-konark_shakti_developers.jpeg', 'https://is1-3.housingcdn.com/012c1500/27a421a54bd97b8f469f3e5ea87288d7/v0/_p.png', 'https://is1-3.housingcdn.com/012c1500/495b5ef70b8059e36bb1f668126de82a/v0/_p.png']",,1 Building - 56 units,"Sep, 2016"
29,Romell Empress,"Holy Cross Rd, IC Colony Ext, I C Colony, Borivali West, Western Suburbs, Mumbai",2 BHK Apartment,"Sep, 2020",22.50 K/sq.ft,610.00 sq.ft. - 642.00 sq.ft.,"Situated in Mumbai at Borivali West, Romell Empress is a residential development launched by Romell Group. This project provides a vast range of amenities including Power Backup, Lift Available, 24 X 7 Security, Vaastu Compliant, Rain Water Harvesting. Prominent suburbs of Mumbai are close by and with several schools, hospitals, banks and offices situated in the proximity, the project is a preferred choice for home seekers.","['https://is1-3.housingcdn.com/4f2250e8/dd09b7a527710adff457522a1c953fbb/v0/_p/romell_empress-borivali_west_1-mumbai-romell_group.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/dd09b7a527710adff457522a1c953fbb/v0/large/romell_empress-borivali_west_1-mumbai-romell_group.jpeg', 'https://is1-3.housingcdn.com/012c1500/1d1e654d622482a318549cbf45cbf580/v0/_p.jpeg', 'https://is1-2.housingcdn.com/012c1500/2af988c578014caf0704ba06d83bc42b/v0/_p.jpeg']",,,"Dec, 2018"
30,Pratp heritage,"Chandavarkar Road, Near The Thane Janata Sahakari Bank Ltd, Maharashtra Nagar, Western Suburbs, Mumbai", BHK ,,Price on request,On Request,"Pratp heritage in Borivali West, Mumbai is a residential project. The address of Pratp heritage is Chandavarkar Road, Near The Thane Janata Sahakari Bank Ltd, Maharashtra Nagar.Life at Pratp heritage is suited for every age group. The property offers various offers a convenient living.Borivali West is a prime area, with many attractions work and recreational options just a drive away.",[],,,
31,Kalpataru Elitus,"LBS Road, Opp. Friends Academy School, Mulund West, Central Mumbai Suburbs, Mumbai","2, 3 BHK Apartments","Sep, 2026",19.08 K/sq.ft,802.00 sq.ft. - 1015.00 sq.ft.,"In this fast-paced world, time spent peacefully with friends and family is becoming a rare experience.  We need a space which is conveniently connected and is yet a place where we can bond with all those we love and hold dear. We need a space where we feel cocooned in the warmth of camaraderie; where our kids make companions for life and where neighbours are not just neighbours, but are friends and family. Kalpataru Elitus in Mulund West, Mumbai is a project designed to bring communities together where you can forge the bonds of love you’ve always yearned for.","['https://is1-3.housingcdn.com/4f2250e8/24ea36c6e27f3d98ea80826ebdbc38d0/v0/_p/kalpataru_elitus-mulund_west-mumbai-kalpataru_group.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/24ea36c6e27f3d98ea80826ebdbc38d0/v0/large/kalpataru_elitus-mulund_west-mumbai-kalpataru_group.jpeg', 'https://img.youtube.com/vi/xmwWsSm0__o/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/053aa3a0f52e3bdf3723128a20f9d79f/v0/_p.jpeg']",3.79 Acres,587 units,"Feb, 2020"
32,Dosti Tulip Dosti West County,"Thane West, Thane","2, 3 BHK Apartments","Oct, 2026",Price on request,580.00 sq.ft. - 923.00 sq.ft.,"Property for sale in Thane West, Thane. This project, that is, Dosti Tulip Dosti West County is a well designed project by Dosti Realty. It is offering Under Construction units. If you are looking at Apartment, you should check out Dosti Tulip Dosti West County. Set in an expanse of 2.77 Acres , the property offers a remarkable lifestyle. Available configurations include 2 BHK, 3 BHK. As per the area plan, units are in the size range of 580.0 - 923.0 sq.ft.. Dosti Tulip Dosti West County was launched in January 2022. Project possession is slated for Oct, 2026. There are 3 buildings  in this project. Total number of flats at Dosti Tulip Dosti West County is 658. Dosti Tulip Dosti West County is located in Thane West. There are 658 units in this residential project.Come home to Dosti Tulip Dosti West County. It offers multiple facilities such as Gymnasium, Power Backup. For families with kids, there is Children's Play Area, nearby apart from Swimming Pool. There is 24x7 Security. There is provision for Closed Car Parking. These amenities make this property totally aspirational.Dosti Tulip Dosti West County has all approvals in place as mandated by the state regulatory authority. RERA ID of this project is P51700032666.Dosti Realty is a renowned name in the real estate space. Founded in 1980, the company has developed as many as 38 projects.Social infrastructure like banks, schools and parks surround Thane West area.  It is also very well-connected to various parts of the city by public transport network.","['https://is1-2.housingcdn.com/4f2250e8/be2da2c59b6b4e0f816aad57500b79ff/v0/_p/dosti_tulip_dosti_west_county-thane_west-thane-dosti_realty.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/be2da2c59b6b4e0f816aad57500b79ff/v0/large/dosti_tulip_dosti_west_county-thane_west-thane-dosti_realty.jpeg', 'https://img.youtube.com/vi/4i-KJdpM3J8/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/2e98ef7d1058e81d83f047e04918386f/v0/_p.jpeg']",2.77 Acres,3 Buildings - 658 units,"Jan, 2022"
33,Sumit Arcenciel,"CTS No 698A/1 Raghvendra Swami Road, Off Goregaon Mulund Link Road, Nr Sarvoday Nagar , Jain Temple, Mulund West, Central Mumbai Suburbs, Mumbai",2 BHK Apartment,"Apr, 2024",22.00 K/sq.ft,482.00 sq.ft. - 624.00 sq.ft.,"Arcenciel launched by Mitasu Developers is a premium residential project located in Mulund West, Mumbai. The project is spread over a total area of 0.74 acres and offers 2 BHK apartments exclusively. Carpet area of 2 BHK apartments is in the range of 482 to 624 sq ft. Amenities available for the convenience of residents are closed car parking areas, landscaped gardens, open area for recreational activities, electrical meter room, sub-station, receiving station, fire protection, fire system equipment, stormwater drains, and regular supply of water. All work related to sewerage chamber, lines, septic tank and STP are handled in the complex. Water conservation and rainwater harvesting are done to conserve resources. Mulund West is a popular area in Mumbai it is preferred by both home buyers and investors for buying residential property. Many good schools, educational institutes, and reputed hospitals are established in Mulund West. Restaurants, banks, and other utility shops are also located in the vicinity. Arcenciel will be ready for possession in October 2023 and apartments are available for sale and can be bought from the developer.","['https://is1-3.housingcdn.com/4f2250e8/b792a75074e6daf2b4cc3ffd064a3826/v0/_p/sumit_arcenciel-mulund_west-mumbai-mitasu_developers_pvt_ltd.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/b792a75074e6daf2b4cc3ffd064a3826/v0/large/sumit_arcenciel-mulund_west-mumbai-mitasu_developers_pvt_ltd.jpeg', 'https://img.youtube.com/vi/IqXC-Dys7ew/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/40faac77ad7eded7705ed19b77c564ec/v0/_p.jpeg']",1 Acres,2 Buildings - 156 units,"Sep, 2019"
34,Sumit Arcenciel,"CTS No 698A/1 Raghvendra Swami Road, Off Goregaon Mulund Link Road, Nr Sarvoday Nagar , Jain Temple, Mulund West, Central Mumbai Suburbs, Mumbai",2 BHK Apartment,"Apr, 2024",22.00 K/sq.ft,482.00 sq.ft. - 624.00 sq.ft.,"Arcenciel launched by Mitasu Developers is a premium residential project located in Mulund West, Mumbai. The project is spread over a total area of 0.74 acres and offers 2 BHK apartments exclusively. Carpet area of 2 BHK apartments is in the range of 482 to 624 sq ft. Amenities available for the convenience of residents are closed car parking areas, landscaped gardens, open area for recreational activities, electrical meter room, sub-station, receiving station, fire protection, fire system equipment, stormwater drains, and regular supply of water. All work related to sewerage chamber, lines, septic tank and STP are handled in the complex. Water conservation and rainwater harvesting are done to conserve resources. Mulund West is a popular area in Mumbai it is preferred by both home buyers and investors for buying residential property. Many good schools, educational institutes, and reputed hospitals are established in Mulund West. Restaurants, banks, and other utility shops are also located in the vicinity. Arcenciel will be ready for possession in October 2023 and apartments are available for sale and can be bought from the developer.","['https://is1-3.housingcdn.com/4f2250e8/b792a75074e6daf2b4cc3ffd064a3826/v0/_p/sumit_arcenciel-mulund_west-mumbai-mitasu_developers_pvt_ltd.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/b792a75074e6daf2b4cc3ffd064a3826/v0/large/sumit_arcenciel-mulund_west-mumbai-mitasu_developers_pvt_ltd.jpeg', 'https://img.youtube.com/vi/IqXC-Dys7ew/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/40faac77ad7eded7705ed19b77c564ec/v0/_p.jpeg']",1 Acres,2 Buildings - 156 units,"Sep, 2019"
35,Neelam Senroofs Phase III,"Plot No. 795A, 795A/1 To 795A/15 At Nahur East, Central Mumbai Suburbs, Mumbai","2, 3 BHK Apartments","Dec, 2027",20.65 K/sq.ft,828.00 sq.ft. - 1162.00 sq.ft.,"Looking for Apartment in Bhandup East, Mumbai?. Neelam Senroofs Phase III is a project by Neelam Realtors. The project is offering 2 BHK, 3 BHK. It is set in 0.5 Acres . Neelam Senroofs Phase III is a Under Construction residential project. There are 437 units. There is 1 building in this project. As per the area plan, units are in the size range of 828.0 - 1162.0 sq.ft.. Neelam Senroofs Phase III is located in Plot No. 795A, 795A/1 To 795A/15 At Nahur East. Neelam Senroofs Phase III was launched in December 2021.Neelam Senroofs Phase III offers a host of facilities for residents. This includes Gymnasium, Power Backup. Sportsies can use Squash Court, Badminton Court, Cycling & Jogging Track. All residents have access to Restaurants/ Cafeterias, provisions in the project. There is 24x7 Security. It is a Gated Community. There is provision for Closed Car Parking. These amenities in Neelam Senroofs Phase III are those that every homebuyer aspires for!.RERA ID is P51800032087.Neelam Senroofs Phase III is RERA-compliant and all necessary approvals are in place.Neelam Realtors is a reputed building firm with 24 projects since its inception in 1978.Bhandup East is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-2.housingcdn.com/4f2250e8/97209d79b056db2dd734d09a1810f215/v0/_p/neelam_senroofs_phase_iii-bhandup_east-mumbai-neelam_realtors.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/97209d79b056db2dd734d09a1810f215/v0/large/neelam_senroofs_phase_iii-bhandup_east-mumbai-neelam_realtors.jpeg', 'https://is1-3.housingcdn.com/012c1500/5b2a869cc8432c11fa4d798808925ea9/v0/_p.jpeg', 'https://is1-2.housingcdn.com/012c1500/72b4705d6e9c08a9a92a07969308d42e/v0/_p.jpeg']",0.5 Acres,1 Building - 437 units,"Dec, 2021"
36,S Square Rudraksh Heritage Wing A And Wing B,"Cts No 1252, Mulund West, Mumbai, Central Mumbai Suburbs, Mumbai","1, 2, 3, 3.5 BHK Apartments","Mar, 2023",23.50 K/sq.ft,388.00 sq.ft. - 1407.00 sq.ft.,"https://digitour.housing.com/digiport/S_SquareS Square Rudraksh Heritage is an ultimate reflection of the urban chic lifestyle located in Mulund West, Mumbai. The project hosts in its lap exclusively designed Residential Apartments, each being an epitome of elegance and simplicity.
About Locality:. Located at Mulund West in Mumbai, S Square Rudraksh Heritage is inspiring in design, stirring in luxury and enveloped by verdant surroundings. S Square Rudraksh Heritage is in troupe with many famous schools, hospitals, shopping destinations, tech parks and every civic amenity required, so that you spend less time on the road and more at home.
 
About Builder:. S Square Rudraksh Heritage is engineered by internationally renowned architects. The Group has been involved in producing various residential and commercial projects with beautifully crafted interiors as well as exteriors.
 
Units and Interiors:. S Square Rudraksh Heritage comprises of 1 BHK and 2 BHK Apartments that are finely crafted and committed to provide houses with unmatched quality. The Apartments are spacious, well ventilated and Vastu compliant.
 
Amenities and security features:. S Square Rudraksh Heritage offers an array of world class amenities such as Apartments. Besides that proper safety equipments are installed to ensure that you live safely and happily with your family in these apartments at Mulund West.","['https://is1-3.housingcdn.com/4f2250e8/35c31b4a201727f4dfa01abfa42cd153/v0/_p/s_square_rudraksh_heritage_wing_a_and_wing_b-mulund_west-mumbai-s_square_developers.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/35c31b4a201727f4dfa01abfa42cd153/v0/large/s_square_rudraksh_heritage_wing_a_and_wing_b-mulund_west-mumbai-s_square_developers.jpeg', 'https://is1-2.housingcdn.com/012c1500/0447844e0b8c062e19712a648279a400/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/e830f391ce6eb9ec27ba7d6c07315ecd/v0/_p.jpg']",,1 Building - 45 units,
37,Runwal Sanctuary,"Runwal Sanctuary, Near Johnson, Sambhaji Nagar, Mulund West, Central Mumbai Suburbs, Mumbai","2, 3 BHK Apartments","Dec, 2025",23.17 K/sq.ft,643.00 sq.ft. - 981.00 sq.ft.,"Far away from the madding crowd and above it; catch the Yogi hills locked in a game of hide and seek. with the clouds and the sun. Turn every syllable into a timeless tale; while you are in the august company of soliloquies, on the private driveway carved out for you. Share your secrets with the birds; and let them regale you with stories. Ride your way back to childhood through the foggy ruins of time on that good old cycle of yours . Explore the nation’s largest cycling and jogging track that connects the two hemispheres of the City of Dreams. Experience nature’s majestic blanket surrounded with an avant-garde lifestyle.Available :- 4 BHK - Carpet Area : 1286 sq.ft & 5 BHK - Carpet Area : 1926 sq.ft : Price On request","['https://is1-2.housingcdn.com/4f2250e8/2ce96614c99538614f0900717bf6ffa7/v0/_p/runwal_sanctuary-mulund_west-mumbai-runwal.jpg', 'https://is1-2.housingcdn.com/4f2250e8/2ce96614c99538614f0900717bf6ffa7/v0/large/runwal_sanctuary-mulund_west-mumbai-runwal.jpg', 'https://img.youtube.com/vi/2IhTV1a-Zq8/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/b9944900ebe3d7d9439cb96260f25082/v0/_p.jpg']",6 Acres,,
38,Piramal Revanta,"Behind Nirmal Lifestyle Mall, Goregaon Mulund Link Road, Mulund West, Central Mumbai Suburbs, Mumbai","1, 2, 2.5, 3, 3.5, 4, 7 BHK Apartments","Sep, 2022",Price on request,452.00 sq.ft. - 2766.00 sq.ft.,"This RERA id P51800005983 is for Piramal Revanta - Tower 1. Piramal Revanta is a new style of luxury living in the new cultural, financial, and commercial heart of Mumbai â Mulund. An urban oasis away from the hustle of the city, the ultra-modern, high-rise Revanta towers sit on the edge of the 25,000-acre Sanjay Gandhi National Park, with expansive views across the lush green of the Yeoor Hills. Homes in Piramal Revanta are designed to maximize natural light and ventilation. With apartments ranging from 1, 2 and 3 bedrooms, residents can take advantage of exceptional amenities and a trove of athletic facilities including: cycling and jogging tracks, cricket and football grounds, badminton courts, gymnasium, swimming pools, and dedicated yoga and meditation spaces. Each apartment boasts cutting-edge security, and all the space that you need to grow and thrive. Piramal Revanta dares you to define your own style of living.","['https://is1-2.housingcdn.com/4f2250e8/06a39b9311a6a89726c426c71d82a7ed/v0/_p/piramal_revanta-mulund_west-mumbai-piramal_realty.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/06a39b9311a6a89726c426c71d82a7ed/v0/large/piramal_revanta-mulund_west-mumbai-piramal_realty.jpeg', 'https://img.youtube.com/vi/xxkw_wc0LNE/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/0de0e8368803dccb0e7607a29a998262/v0/_p.jpg']",8 Acres (50% open),2 Buildings - 560 units,"Mar, 2017"
39,Samrin Heritage,"Opp. Sarovar Darsan, Dr Almeda Road, Panchpakhadi, Thane West, Thane","1, 2, 3 BHK Apartments","Dec, 2023",Price on request,367.00 sq.ft. - 1073.00 sq.ft.,"Inspired by the Legendary Peshwas, We Bring you a Lifestyle project steeped in Heritage. However, the project fascia offers little indication of the exuberant modernity within Our homes are redefined to each owner's individual sense of style which makes every home a truly unique experience. It's time to Arrive, Rejuvenate and Refresh!
 
In terms of facilities, Samrin Heritage is loaded with multiple offerings such as Power Backup. The property has Fire Fighting Systems, Fire Protection And Fire Safety Requirements. It is an Earthquake Resistant Structure.
 
Bank financing is approved by the following financial institutions such as PNB Housing Finance, Axis Bank, HDFC, Indiabulls Finance, IIFL, Citibank, L&T Housing Finance, DHFL.
 
Samrin Heritage follows all rules as prescribed by the state RERA. All details are furnished on the RERA portal as well.ID is P51700016394.
 
Samrin Group is a very well-known developer-firm in this real estate market. Residents and their lifestyle are at the centre of their developments.
 
Prominent suburbs of Thane are close by to Thane West and with several schools, hospitals, banks and offices situated in the proximity, the project is a preferred choice for home seekers.","['https://is1-2.housingcdn.com/4f2250e8/cc70ba39744f027ff81a458d4ba5feee/v0/_p/samrin_heritage-thane_west-mumbai-samrin_group.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/cc70ba39744f027ff81a458d4ba5feee/v0/large/samrin_heritage-thane_west-mumbai-samrin_group.jpeg', 'https://is1-3.housingcdn.com/012c1500/8e7d68b9a206f06bda68093391397db8/v0/_p.jpeg', 'https://is1-2.housingcdn.com/012c1500/92ddaa5963c9598db0d30d4998c44789/v0/_p.jpeg']",2 Acres,4 Buildings - 310 units,"Jun, 2018"
