,Flat Name,Flat address,Configurations,Possession_Starts,Avg. Price,Sizes,Project Size,Launch Date,About,images,Project Area
22,Alekhya NSR County Phase II,"Sangareddy, Peddapur, Mumbai Highway, North Hyderabad, Hyderabad",Residential Plots,Ready to Move,18.00 K/sq.yd,167.00 sq.yd. - 500.00 sq.yd.,1400 units,"Dec, 2019","NSR COUNTY With Its Seemingly Endless List Of Features And Facilities, Offers Much More Then Open Plots. The Place Ensures You Get More Out Of Life Here Every Moment. Situated In The Picturesque Surroundings With Peaceful And Serene Setting, This Project Boasts Open Spaces And Vast Green Areas.NSR COUNTY Is A Getaway For Those Looking To Escape From The Hustle And Bustle Of The City Such As Teeming Traffic, Noise, Pollution Yet Well Connected To All Important City Places.","['https://is1-2.housingcdn.com/4f2250e8/720e311afd524c379ed814f01bb763e9/v0/_p/alekhya_nsr_county_phase_ii-sangareddy-hyderabad-alekhya_infraa_developers.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/720e311afd524c379ed814f01bb763e9/v0/large/alekhya_nsr_county_phase_ii-sangareddy-hyderabad-alekhya_infraa_developers.jpeg', 'https://img.youtube.com/vi/k83Kqb9Yc_g/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/c42f8b4472599d0d7ec8be8ca47034f5/v0/_p.jpeg']",100 Acres
23,Alekhya NSR County Phase II,"Sangareddy, Peddapur, Mumbai Highway, North Hyderabad, Hyderabad",Residential Plots,Ready to Move,18.00 K/sq.yd,167.00 sq.yd. - 500.00 sq.yd.,1400 units,"Dec, 2019","NSR COUNTY With Its Seemingly Endless List Of Features And Facilities, Offers Much More Then Open Plots. The Place Ensures You Get More Out Of Life Here Every Moment. Situated In The Picturesque Surroundings With Peaceful And Serene Setting, This Project Boasts Open Spaces And Vast Green Areas.NSR COUNTY Is A Getaway For Those Looking To Escape From The Hustle And Bustle Of The City Such As Teeming Traffic, Noise, Pollution Yet Well Connected To All Important City Places.","['https://is1-2.housingcdn.com/4f2250e8/720e311afd524c379ed814f01bb763e9/v0/_p/alekhya_nsr_county_phase_ii-sangareddy-hyderabad-alekhya_infraa_developers.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/720e311afd524c379ed814f01bb763e9/v0/large/alekhya_nsr_county_phase_ii-sangareddy-hyderabad-alekhya_infraa_developers.jpeg', 'https://img.youtube.com/vi/k83Kqb9Yc_g/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/c42f8b4472599d0d7ec8be8ca47034f5/v0/_p.jpeg']",100 Acres
24,NDR Vipasa,"Mokila, Shankarpalli, Hyderabad",4 BHK Villa,"Mar, 2023",7.50 K/sq.ft,3325.00 sq.ft.,150 units,"Nov, 2021","After successfully completing 10 magnificent projects, we are now working on one of our most prestigious projects named NDR’s Vipasa. Being built in a sprawling 15 acres area, this will be a elite gated community with 150 luxurious villas. Located in a well connected yet a beautiful area of Shankarpally Mokhila, Vipasa will be an amazing to place to live in. We are building this jaw-dropping project with all the amenities, including various gardens, sports park, a huge club house with an area of 30000 sqft etc. And there is a good news for you, we are now accepting bookings for Vipasa. Contact us right away for more details","['https://is1-3.housingcdn.com/4f2250e8/c1375042782bd7dbba8704938d61001d/v0/_p/ndr_vipasa-shankarpally-hyderabad-ndr_developers.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/c1375042782bd7dbba8704938d61001d/v0/large/ndr_vipasa-shankarpally-hyderabad-ndr_developers.jpeg', 'https://is1-2.housingcdn.com/012c1500/0887d412a4d7ad6e5d27490cbedca96b/v0/_p.jpeg', 'https://is1-2.housingcdn.com/012c1500/87275e276416459ba42eef0b22a054b3/v0/_p.jpeg']",15 Acres
25,N Square Shoolin City,"Shankarpalli, Hyderabad","2, 3 BHK Apartments","Nov, 2024",3.70 K/sq.ft,1010.00 sq.ft. - 1480.00 sq.ft.,6 Buildings - 240 units,,"N Square Shoolin City is a project by N Square Projects in Hyderabad. It is a Under Construction project. N Square Shoolin City offers some of the most conveniently designed Apartment. Located in Shankarpally, it is a residential project. The project is spread over 2 Acres . It has 240 units. There are 6 buildings in this project. N Square Shoolin City offers some of the most exclusive 2 BHK, 3 BHK. As per the area plan, units are in the size range of 1010.0 - 1480.0 sq.ft.. The address of N Square Shoolin City is Shankarpalli.N Square Shoolin City ensures a coveted lifestyle and offers a convenient living. It offers facilities such as Power Backup. There is 24x7 Security. It is a Gated Community.N Square Projects is a reputed developer firm established in 2005. The firm has since then developed 3 projects and focuses on customer-centricity.Shankarpally is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-3.housingcdn.com/4f2250e8/863d4f7d0da6c26b32a38ba12fb1c3ba/v0/_p/n_square_shoolin_city-shankarpally-hyderabad-n_square_projects.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/863d4f7d0da6c26b32a38ba12fb1c3ba/v0/large/n_square_shoolin_city-shankarpally-hyderabad-n_square_projects.jpeg', 'https://is1-3.housingcdn.com/012c1500/056bb2bd64f6dfb1a0cd3837f92cc9db/v0/_p.jpeg', 'https://is1-2.housingcdn.com/012c1500/e0c763aa42f7aa56859d40a5239ec248/v0/_p.jpeg']",2 Acres
26,N Square Shoolin City,"Shankarpalli, Hyderabad","2, 3 BHK Apartments","Nov, 2024",3.70 K/sq.ft,1010.00 sq.ft. - 1480.00 sq.ft.,6 Buildings - 240 units,,"N Square Shoolin City is a project by N Square Projects in Hyderabad. It is a Under Construction project. N Square Shoolin City offers some of the most conveniently designed Apartment. Located in Shankarpally, it is a residential project. The project is spread over 2 Acres . It has 240 units. There are 6 buildings in this project. N Square Shoolin City offers some of the most exclusive 2 BHK, 3 BHK. As per the area plan, units are in the size range of 1010.0 - 1480.0 sq.ft.. The address of N Square Shoolin City is Shankarpalli.N Square Shoolin City ensures a coveted lifestyle and offers a convenient living. It offers facilities such as Power Backup. There is 24x7 Security. It is a Gated Community.N Square Projects is a reputed developer firm established in 2005. The firm has since then developed 3 projects and focuses on customer-centricity.Shankarpally is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-3.housingcdn.com/4f2250e8/863d4f7d0da6c26b32a38ba12fb1c3ba/v0/_p/n_square_shoolin_city-shankarpally-hyderabad-n_square_projects.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/863d4f7d0da6c26b32a38ba12fb1c3ba/v0/large/n_square_shoolin_city-shankarpally-hyderabad-n_square_projects.jpeg', 'https://is1-3.housingcdn.com/012c1500/056bb2bd64f6dfb1a0cd3837f92cc9db/v0/_p.jpeg', 'https://is1-2.housingcdn.com/012c1500/e0c763aa42f7aa56859d40a5239ec248/v0/_p.jpeg']",2 Acres
27,Meenakshi County,"Shankarpalli, Hyderabad",Residential Plots,"Jul, 2021",2.06 K/sq.ft,1503.00 sq.ft. - 2700.00 sq.ft.,1200 units,,"Meenakshi County is a residential plot by Sri Meenakshi Estates. This plot is available for sale in Shankarpally, Hyderabad. This project offers plots in various sizes. The minimum plot size is 1503.0 sq.ft. and the maximum size is 2700.0 sq.ft.. There are 1200 units in Meenakshi County. The address of Meenakshi County is Shankarpalli.Meenakshi County ensures a coveted lifestyle and offers a convenient living.  The property is equipped with Fire Sprinklers.  There is 24x7 Security. It is aGated Community. Other provisions include access to Landscaped Garden, Storm Water Drains.This residential land for sale is RERA approved. For details, check RERA ID P02400001406.The firm has since then developed 1 and focuses on customer-centricity. Check out Meenakshi County brochure for more details.Shankarpally is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-3.housingcdn.com/4f2250e8/6db07f16de43f61027251c6789117128/v0/_p/meenakshi_county-shankarpally-hyderabad-sri_meenakshi_estates.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/6db07f16de43f61027251c6789117128/v0/large/meenakshi_county-shankarpally-hyderabad-sri_meenakshi_estates.jpeg', 'https://img.youtube.com/vi/37wMoMz0Q8E/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/17b895cf99c9a1bc525a133b7f025114/v0/_p.jpeg']",101 Acres
28,Newmark Green Park A,"Fatehpur banglagadda, Pathepur, Shankarpalle, Hyderabad",Residential Plots,"Apr, 2021",1.55 K/sq.ft,1665.00 sq.ft. - 9108.00 sq.ft.,184 units,"Aug, 2018","Green Park A is a residential development in Shankarpalli, Hyderabad. It consists of skillfully designed plots and flats with all necessities. The place has a good demand for residential properties due to the availability of quality housing in all budget categories. You will get a number of choices to choose from medium-sized to high-end apartments.  The project has been developed by Newmark Urban spaces. They have designed all the apartments with attractive decorations. The rooms have ample space and enable good air circulation. Besides this, it provides amenities like proper garbage disposal facilities, paved compounds, rainwater harvesting, sewage treatment, good power backup, lifts, and security features. Communication by transport is well available in this place. All other important places are also located nearby, making the area a more suitable one for settlement.So it is finally the time when you have to stop thinking and visit the project site in order to make a choice for yourself and your family.","['https://is1-2.housingcdn.com/4f2250e8/0ddd534be581e9bdf65eb834d9f508df/v0/_p/newmark_green_park_a-meerpet-hyderabad-newmark_urbanspaces.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/0ddd534be581e9bdf65eb834d9f508df/v0/large/newmark_green_park_a-meerpet-hyderabad-newmark_urbanspaces.jpeg', 'https://is1-3.housingcdn.com/012c1500/1b39104db367d962d584e5d672400df6/v0/_p.png', 'https://is1-2.housingcdn.com/012c1500/20764813c8348262dcd3e43ac7999eac/v0/_p.jpeg']",15 Acres
29,Alekhya Srivaari County Villa Plots,"Near Financial District, Nandigama, Hyderabad",Residential Plots,Ready to Move,25.00 K/sq.yd,200.00 sq.yd. - 400.00 sq.yd.,,,,"['https://is1-3.housingcdn.com/4f2250e8/b057ca91958115a775f0c71272147cde/v0/_p/alekhya_srivaari_county_villa_plots-nandigama_3-hyderabad-alekhya_infraa_developers.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/b057ca91958115a775f0c71272147cde/v0/large/alekhya_srivaari_county_villa_plots-nandigama_3-hyderabad-alekhya_infraa_developers.jpeg', 'https://is1-3.housingcdn.com/012c1500/02181d433f38550c2660251ad0455f44/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/3367176d770f7140a4957857122632e7/v0/_p.jpeg']",
30,Alekhya Srivaari County Villa Plots,"Near Financial District, Nandigama, Hyderabad",Residential Plots,Ready to Move,25.00 K/sq.yd,200.00 sq.yd. - 400.00 sq.yd.,,,,"['https://is1-3.housingcdn.com/4f2250e8/b057ca91958115a775f0c71272147cde/v0/_p/alekhya_srivaari_county_villa_plots-nandigama_3-hyderabad-alekhya_infraa_developers.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/b057ca91958115a775f0c71272147cde/v0/large/alekhya_srivaari_county_villa_plots-nandigama_3-hyderabad-alekhya_infraa_developers.jpeg', 'https://is1-3.housingcdn.com/012c1500/02181d433f38550c2660251ad0455f44/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/3367176d770f7140a4957857122632e7/v0/_p.jpeg']",
31,Bhashyam RRR County,"Shankarpally, North Hyderabad, Hyderabad",Residential Plots,"Mar, 2022",17.00 K/sq.yd,166.00 sq.yd. - 1000.00 sq.yd.,1050 units,"Nov, 2021","Bhashyam RRR County is a residential plot by Bhashyam Developers. This plot is available for sale in Shankarpally, Hyderabad. This project offers plots in various sizes. The minimum plot size is 166.0 sq.yd. and the maximum size is 1000.0 sq.yd.. This project was launched on December 2021. There are 1050 units in Bhashyam RRR County. The address of Bhashyam RRR County is Shankarpally.Bhashyam RRR County ensures a coveted lifestyle and offers a convenient living. It offers facilities such as Power Backup. Other provisions include access to Landscaping & Tree Planting, Storm Water Drains.The firm has since then developed 37 and focuses on customer-centricity. Check out Bhashyam RRR County brochure for more details.Shankarpally is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-3.housingcdn.com/4f2250e8/912eb903caf41e8014a1ce0d95e4cdcb/v0/_p/bhashyam_rrr_county-shankarpally-hyderabad-bhashyam_developers.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/912eb903caf41e8014a1ce0d95e4cdcb/v0/large/bhashyam_rrr_county-shankarpally-hyderabad-bhashyam_developers.jpeg', 'https://img.youtube.com/vi/iXjUbq-nb2A/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/6b6d798a8449c11d96a9718bf589ad09/v0/_p.jpeg']",
32,Peram Aditya Aishwarya,"Shankarpalli, Hyderabad",Residential Plots,Ready to Move,14.50 K/sq.yd,167.00 sq.yd. - 400.00 sq.yd.,840 units,"Jan, 2019","Leading real estate company Peram Group has developed residential project Aditya Aishwarya in Shankarpalli, Hyderabad. The project is offering plots of varying sizes. Built-up area of the plots is in the range of 1503 to 3600 sq ft. Landscaped gardens, power back-up, basketball court, childrens play area, well-lit internal streets, regular supply of water, and other amenities needed for comfort of living are available in the premises. Round the clock security makes the complex safe and secure. It is a Vaastu compliant housing. Shankarpalli is a popular area in Hyderabad. It is located near areas like Begumpet, Shadnagar, Gachibowli, Hitech City, Nizampet, Manikonda, Mirapur, Kondapur, Serilingampally, and Gachibowli. Several reputed schools, educational institutes, and hospitals are established here. Restaurants, banks, and other utility shops are also located in the vicinity. Shankarpalli is well-connected to other areas by a network of road and rail transport. It is a comfortable locality to own a residential place. Aditya Aishwarya was completed in December 2019 and plots are available on resale.","['https://is1-3.housingcdn.com/4f2250e8/d3b6ca41b23ea115857ba9478a334d83/v0/_p/peram_aditya_aishwarya-shankarpally-hyderabad-peram_group.jpg', 'https://is1-3.housingcdn.com/4f2250e8/d3b6ca41b23ea115857ba9478a334d83/v0/large/peram_aditya_aishwarya-shankarpally-hyderabad-peram_group.jpg', 'https://img.youtube.com/vi/xbAAJEVXrwM/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/2153e7662b69cbed6f39674d4b94675d/v0/_p.jpeg']",
33,Sark Town Homes,"Sy. No/CTS No. - 236/p, 237/p, Singapur Village, Shankarpalli, Hyderabad",3 BHK Villa,Under Construction,Price on request,1600.00 sq.ft.,69 units,"Dec, 2019","Hyderabad's residential project, Sark Town Homes is offering property for sale. Check out some Villa. Available configurations include 3 BHK formats in Shankarpally. It is a Under Construction project by Sark Projects India Pvt Ltd. Sark Town Homes is set in an area of 5 Acres  and is complete with various modern-day amenities. As per the area plan, units are in the size of 1600.0 sq.ft.. Sark Town Homes was launched in December 2019 and possession date is Jul, 2020. There are 69 units in Sark Town Homes. Sark Town Homes is located in Sy. No/CTS No. - 236/p, 237/p, Singapur Village, Shankarpalli.There are multiple amenities for residents at Sark Town Homes which includes Power Backup. Young families with children will love the Children's Play Area, nearby apart from Swimming Pool. Sports enthusiasts will like the Tennis Court, Basketball Court, Badminton Court. Enjoy access to Internet / Wi-Fi, provisions in the project. There is 24x7 Security. It is a Gated Community. Other provisions include access to Banquet Hall, Landscaped Garden, Sewage Treatment Plant, Multipurpose Room. Own a home in Sark Town Homes today!.Shankarpally is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-2.housingcdn.com/4f2250e8/567ad6fc48392fb33449ac0a0be9485a/v0/_p/sark_town_homes-shankarpally-hyderabad-sark_projects_india_pvt_ltd.jpg', 'https://is1-2.housingcdn.com/4f2250e8/567ad6fc48392fb33449ac0a0be9485a/v0/large/sark_town_homes-shankarpally-hyderabad-sark_projects_india_pvt_ltd.jpg', 'https://is1-2.housingcdn.com/012c1500/c48e3ccc5b3c53596a642aa22122e990/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/3e3b904e055e93b8c63e68bb21c1f58b/v0/_p.jpg']",5 Acres
34,Peram Aditya Aishwarya,"Shankarpalli, Hyderabad",Residential Plots,Ready to Move,14.50 K/sq.yd,167.00 sq.yd. - 400.00 sq.yd.,840 units,"Jan, 2019","Leading real estate company Peram Group has developed residential project Aditya Aishwarya in Shankarpalli, Hyderabad. The project is offering plots of varying sizes. Built-up area of the plots is in the range of 1503 to 3600 sq ft. Landscaped gardens, power back-up, basketball court, childrens play area, well-lit internal streets, regular supply of water, and other amenities needed for comfort of living are available in the premises. Round the clock security makes the complex safe and secure. It is a Vaastu compliant housing. Shankarpalli is a popular area in Hyderabad. It is located near areas like Begumpet, Shadnagar, Gachibowli, Hitech City, Nizampet, Manikonda, Mirapur, Kondapur, Serilingampally, and Gachibowli. Several reputed schools, educational institutes, and hospitals are established here. Restaurants, banks, and other utility shops are also located in the vicinity. Shankarpalli is well-connected to other areas by a network of road and rail transport. It is a comfortable locality to own a residential place. Aditya Aishwarya was completed in December 2019 and plots are available on resale.","['https://is1-3.housingcdn.com/4f2250e8/d3b6ca41b23ea115857ba9478a334d83/v0/_p/peram_aditya_aishwarya-shankarpally-hyderabad-peram_group.jpg', 'https://is1-3.housingcdn.com/4f2250e8/d3b6ca41b23ea115857ba9478a334d83/v0/large/peram_aditya_aishwarya-shankarpally-hyderabad-peram_group.jpg', 'https://img.youtube.com/vi/xbAAJEVXrwM/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/2153e7662b69cbed6f39674d4b94675d/v0/_p.jpeg']",
35,Bhashyam RRR County,"Shankarpally, North Hyderabad, Hyderabad",Residential Plots,"Mar, 2022",17.00 K/sq.yd,166.00 sq.yd. - 1000.00 sq.yd.,1050 units,"Nov, 2021","Bhashyam RRR County is a residential plot by Bhashyam Developers. This plot is available for sale in Shankarpally, Hyderabad. This project offers plots in various sizes. The minimum plot size is 166.0 sq.yd. and the maximum size is 1000.0 sq.yd.. This project was launched on December 2021. There are 1050 units in Bhashyam RRR County. The address of Bhashyam RRR County is Shankarpally.Bhashyam RRR County ensures a coveted lifestyle and offers a convenient living. It offers facilities such as Power Backup. Other provisions include access to Landscaping & Tree Planting, Storm Water Drains.The firm has since then developed 37 and focuses on customer-centricity. Check out Bhashyam RRR County brochure for more details.Shankarpally is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-3.housingcdn.com/4f2250e8/912eb903caf41e8014a1ce0d95e4cdcb/v0/_p/bhashyam_rrr_county-shankarpally-hyderabad-bhashyam_developers.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/912eb903caf41e8014a1ce0d95e4cdcb/v0/large/bhashyam_rrr_county-shankarpally-hyderabad-bhashyam_developers.jpeg', 'https://img.youtube.com/vi/iXjUbq-nb2A/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/6b6d798a8449c11d96a9718bf589ad09/v0/_p.jpeg']",
36,Swathi Sree Shankarpalli Hill II,"Shankarpally, Hyderabad",Residential Plots,"Jan, 2022",12.50 K/sq.yd,147.00 sq.yd. - 270.00 sq.yd.,319 units,,"Swathi Sree Shankarpalli Hill II is a residential plot by Swathi Promoters Private Limited. This plot is available for sale in Shankarpally, Hyderabad. This project offers plots in various sizes. The minimum plot size is 147.0 sq.yd. and the maximum size is 270.0 sq.yd.. There are 319 units in Swathi Sree Shankarpalli Hill II. The address of Swathi Sree Shankarpalli Hill II is Shankarpally.Swathi Sree Shankarpalli Hill II ensures a coveted lifestyle and offers a convenient living. Sports enthusiasts can also make the most of Volleyball Court. Other provisions include access to Landscaped Garden.The firm has since then developed 3 and focuses on customer-centricity. Check out Swathi Sree Shankarpalli Hill II brochure for more details.Shankarpally is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-3.housingcdn.com/4f2250e8/6560b6ab670de247705ebfb07bd176cc/v0/_p/swathi_sree_shankarpalli_hill_ii-shankarpally-hyderabad-swathi_promoters_private_limited.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/6560b6ab670de247705ebfb07bd176cc/v0/large/swathi_sree_shankarpalli_hill_ii-shankarpally-hyderabad-swathi_promoters_private_limited.jpeg', 'https://is1-3.housingcdn.com/012c1500/3634b5bef089eab23cb1e9e80ff22262/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/d441ea5b3d12d568a0946f9b7b129b82/v0/_p.jpeg']",25 Acres
37,Peram Aditya Lavender Aavenue,"Mominpet Main Road, Gangaram Village, Shankarpalli, Hyderabad",Residential Plots,Ready to Move,14.02 K/sq.yd,202.00 sq.yd. - 326.00 sq.yd.,,,"Peram Aditya Lavender Aavenue is a residential plot by Peram Group. This plot is available for sale in Shankarpally, Hyderabad. This project offers plots in various sizes. The minimum plot size is 202.0 sq.yd. and the maximum size is 326.0 sq.yd.. The address of Peram Aditya Lavender Aavenue is Mominpet Main Road, Gangaram Village, Shankarpalli.Peram Aditya Lavender Aavenue ensures a coveted lifestyle and offers a convenient living. Other provisions include access to Landscaping & Tree Planting, Storm Water Drains.This residential land for sale is RERA approved. For details, check RERA ID Rera Not Required.Peram Group is a reputed developer firm established in 31/07/2021. The firm has since then developed 26 and focuses on customer-centricity. Check out Peram Aditya Lavender Aavenue brochure for more details.Shankarpally is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-3.housingcdn.com/4f2250e8/94aa9584bd5c7afeff6b0c10d9a326a3/v0/_p/peram_aditya_lavender_aavenue-shankarpally-hyderabad-peram_group.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/94aa9584bd5c7afeff6b0c10d9a326a3/v0/large/peram_aditya_lavender_aavenue-shankarpally-hyderabad-peram_group.jpeg', 'https://is1-3.housingcdn.com/012c1500/25ec661711875d873309a77ba5a7b4f1/v0/_p.jpeg']",
38,Pragati Islands,"Shankarpally, Hyderabad",Residential Plots,Ready to Move,15.00 K/sq.yd,500.00 sq.yd. - 534.00 sq.yd.,,,"Pragati Islands is a residential plot by Pragati Green Meadows And Resorts Ltd. This plot is available for sale in Shankarpally, Hyderabad. This project offers plots in various sizes. The minimum plot size is 4500.0 sq.ft. and the maximum size is 4806.0 sq.ft.. The address of Pragati Islands is Shankarpally.Pragati Islands ensures a coveted lifestyle and offers a convenient living. It offers facilities such as Gymnasium.  For families with kids, there is Children's Play Area, nearby apart from Swimming Pool. Sports enthusiasts can also make the most of Tennis Court.  Residents can also enjoy Internet / Wi-Fi, provisions in the project.  There is 24x7 Security. Other provisions include access to Health Facilities.Pragati Green Meadows And Resorts Ltd is a reputed developer firm established in 2001. The firm has since then developed 9 and focuses on customer-centricity. Check out Pragati Islands brochure for more details.Shankarpally is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-2.housingcdn.com/4f2250e8/5094b7a7055b6774e4e52cd46725a6e5/v0/_p/pragati_islands-shankarpally-hyderabad-pragati_green_meadows_and_resorts_ltd.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/5094b7a7055b6774e4e52cd46725a6e5/v0/large/pragati_islands-shankarpally-hyderabad-pragati_green_meadows_and_resorts_ltd.jpeg', 'https://is1-3.housingcdn.com/012c1500/a26fea4bca1967e1c57cf7a46c04028f/v0/_p.jpeg']",
39,VNR Aerocity,"Balapur, South Hyderabad, Hyderabad",Residential Plots,"Aug, 2023",32.00 K/sq.yd,200.00 sq.yd. - 2488.00 sq.yd.,747 units,"Jun, 2021","VNR's Aerocity is an integrated self-sufficient layout that is a harmonious whole. You can live in it, have your children go to school within the gates, invest in retail spaces and have an address that is admired by all. VNR's Aerocity brings our vision of the ultimate living space to reality. It's a one-of-a-kind living environment being created by the collaboration of the city's most trusted names in real estate. VNR's Aerocity in Balapur is a mixed-development project that opens up exciting opportunities for both home seekers and those looking for lucrative returns on their investment. Explore the many joys of this unique locale. VNR's Aerocity is the best of both worlds under one blue sky! You have the privacy along with the companionship of a neighbourhood. International schools and expert medical facilities are at stone's throw. And since the administration has Balapur on its radar, the property is expected to be a gold mine in the near future.This project Promoted by KM Kohinoor , RR Group,Classic Infra.","['https://is1-3.housingcdn.com/4f2250e8/e7c7e5e056d4ede280169c2bda879214/v0/_p/vnr_aerocity-balapur-hyderabad-aq_square_realtors_pvt_ltd.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/e7c7e5e056d4ede280169c2bda879214/v0/large/vnr_aerocity-balapur-hyderabad-aq_square_realtors_pvt_ltd.jpeg', 'https://is1-2.housingcdn.com/012c1500/0e7aa660ec1a6ca19f8c5ca5eff82c2e/v0/_p.jpg', 'https://is1-3.housingcdn.com/012c1500/05d16ed024ff76323a1c17452bae293a/v0/_p.jpg']",89.8 Acres
40,GSR Sri Meru,"Kollur, West Hyderabad, Hyderabad","2, 2.5, 3 BHK Apartments","Aug, 2024",3.50 K/sq.ft,1175.00 sq.ft. - 2600.00 sq.ft.,1 Building - 320 units,,"GSR Sri Meru is a residential project in Kollur, Hyderabad. It is set in an area of 3.5 Acres . GSR Sri Meru offers Apartment. Available configurations include 2 BHK, 2.5 BHK, 3 BHK. Apartment, as per the area plan, are in the size range of 1175.0 - 2600.0 sq.ft.. The property is Under Construction. There is 1 building for sale. GSR Sri Meru is located in Kollur. The project is developed by GSR Group. There are 320 units for sale.GSR Sri Meru is equipped with various resident-centric amenities that includes Gymnasium, Power Backup. For families with kids, there is Children's Play Area, nearby apart from Swimming Pool, Sports Area. Residents can make use of Internet / Wi-Fi, provisions in the project. There is 24x7 Security. It is a Gated Community. Enjoy a class-apart lifestyle at GSR Sri Meru.Located close to prominent suburbs of Hyderabad, the area of Kollur has prominent schools and hospitals within a close distance.","['https://is1-3.housingcdn.com/4f2250e8/b431c80ce5f531dfb71d3dd3b98a7a8d/v0/_p/gsr_sri_meru-kollur_1-hyderabad-gsr_group.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/b431c80ce5f531dfb71d3dd3b98a7a8d/v0/large/gsr_sri_meru-kollur_1-hyderabad-gsr_group.jpeg', 'https://is1-2.housingcdn.com/012c1500/43c0574bf10e4403812529c9dda89f62/v0/_p.jpeg', 'https://is1-2.housingcdn.com/012c1500/7f73bbd8c507fb90bec001105d017d5a/v0/_p.jpeg']",3.5 Acres
41,Signature Altius,"Kollur, West Hyderabad, Hyderabad","2, 2.5, 3 BHK Apartments","Jun, 2024",4.60 K/sq.ft,1385.00 sq.ft. - 2425.00 sq.ft.,542 units,"Apr, 2021","Located in the sprawling green spaces of Kollur, just a few kilometers away from Financial District & Kokapet Sez lies Signature Altius, a gated community of premium 2 & 3 BHK homes. Spread over 5 acres, Signature Altius is a home that brings together all the joyful elements necessary to nurture loved ones of all ages. From providing comfort and convenience to delivering healthy engagement spaces and 60% of open spaces, the stellar project is truly a space built for joyful community living","['https://is1-3.housingcdn.com/4f2250e8/ba0422d33bc164210dad953ae55343cd/v0/_p/signature_altius-kollur-hyderabad-signature_avenues.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/ba0422d33bc164210dad953ae55343cd/v0/large/signature_altius-kollur-hyderabad-signature_avenues.jpeg', 'https://is1-3.housingcdn.com/012c1500/0178e9bc1a701b4fbd79a63ecc0816a9/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/174f0f63b70f48413070fe4f7b24d093/v0/_p.jpeg']",
